sex_s,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
female,32,-3.509123097034375,-3.50900653614766,-3.5103195575068
female,33,-3.324654819264374,-3.3247569396613548,-3.3260699610204947
female,34,-3.4671321713259795,-3.4672007047505637,-3.4685137261097037
female,35,-4.03660205243062,-4.036143535297763,-4.0374565566569025
female,36,-3.5889505484362623,-3.5892192730171386,-3.5905322943762785
female,37,-4.188828338144277,-4.188523230699918,-4.189836252059058
female,38,-4.250460103066806,-4.250321294886355,-4.251634316245495
female,39,-3.911904737369971,-3.912057967257576,-3.913370988616716
female,40,-4.0629821501607015,-4.0628614556503075,-4.0641744770094475
female,41,-3.882264424000888,-3.8824853081043487,-3.8837983294634886
female,42,-4.733604645910817,-4.73291207033693,-4.73422509169607
female,43,-4.336566194984834,-4.336534028947738,-4.337847050306878
female,44,-3.8187079203237895,-3.8188814174866037,-3.8201944388457436
female,45,-3.800377622087599,-3.8003852754198073,-3.801698296778947
female,46,-3.8004280788851954,-3.800498985728044,-3.8018120070871837
female,47,-4.191330958558849,-4.191062472714364,-4.192375494073504
female,48,-4.07709312743074,-4.077043480320368,-4.078356501679508
female,49,-3.622897906350631,-3.6232814594421896,-3.6245944808013295
female,50,-9.210340371976182,-9.210340371976182,-9.211653393335322
female,51,-9.210340371976182,-9.210340371976182,-9.211653393335322
female,52,-9.210340371976182,-9.210340371976182,-9.211653393335322
