sex_s,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,-16,-1.7577204517285903,-1.7577062334877316,-1.7583529386355357
male,-15,-1.544744785218551,-1.5447348540439076,-1.5453815591917117
male,-14,-1.3487673180620385,-1.3487366007459813,-1.3493833058937854
male,-13,-1.1129446661642248,-1.112920964946579,-1.113567670094383
male,-12,-0.8675850439377104,-0.8675608111626941,-0.8682075163104983
male,-11,-0.6139249569530922,-0.6138797801567591,-0.6145264853045633
male,-10,-0.3068058977953411,-0.30682295189817843,-0.30746965704598256
male,-9,-0.11198997343319492,-0.11194964996180415,-0.1125963551096083
male,-8,0.15077511420296869,0.15079776083454133,0.15015105568673717
male,-7,0.41605012197611546,0.41607614727440256,0.41542944212659844
male,-6,0.6916466565910704,0.6916777379649828,0.6910310328171786
male,-5,0.9857771006777017,0.9857906552382057,0.9851439500904016
male,-4,1.251516043362553,1.2515492826084484,1.2509025774606444
male,-3,1.546441298878524,1.5464514358640962,1.545804730716292
male,-2,1.8059975730617255,1.8060049977136998,1.8053582925658958
male,-1,2.037696381906865,2.0376524481095926,2.0370057429617883
male,0,2.1160739362904324,2.1159160441235496,2.1152693389757453
male,1,1.5919815854983255,1.5920845419520055,1.5914378368042015
male,2,1.049295363530159,1.049435374433587,1.0487886692857828
male,3,0.6383053889109829,0.6383921315270912,0.637745426379287
male,4,0.3182115525437926,0.3182638418529563,0.3176171367051522
male,5,0.04403437786140526,0.04406194433240471,0.04341523918460055
male,6,-0.24298805908225626,-0.242945876600642,-0.24359258174844617
male,7,-0.4944350178752097,-0.4944223772061858,-0.49506908235398994
male,8,-0.8003132008875513,-0.8002540618084367,-0.8009007669562409
male,9,-1.0194702282059385,-1.0194413008246181,-1.0200880059724222
male,10,-1.206167985348336,-1.2061970713704746,-1.2068437765182787
male,11,-1.5718554251934813,-1.5717676412811161,-1.5724143464289202
male,12,-1.7921851634517103,-1.7921743809504298,-1.7928210860982339
male,13,-2.0509498608351073,-2.0509223982392832,-2.0515691033870875
male,14,-2.310680082759917,-2.310646033805477,-2.311292738953281
male,15,-2.5464513301321996,-2.546422086429491,-2.547068791577295
male,16,-2.7604271417160504,-2.7604126565732225,-2.761059361721027
male,17,-2.995983115460071,-2.9959482974166862,-2.9965950025644905
male,18,-3.190775618968079,-3.190756476112336,-3.1914031812601404
male,19,-3.379930647377076,-3.3799158763922206,-3.380562581540025
male,20,-3.577629806908188,-3.5776155417912494,-3.5782622469390537
male,21,-3.792226238313797,-3.7921822379153025,-3.792828943063107
male,22,-3.9249119580883205,-3.9248793976796383,-3.9255261028274426
male,23,-3.980628487692606,-3.9807509042364955,-3.9813976093842998
male,24,-4.573031835534557,-4.572664040199251,-4.5733107453470545
male,25,-4.341132965962237,-4.3412462139203845,-4.341892919068188
male,26,-4.477706821851416,-4.4777208470697625,-4.478367552217566
male,27,-4.713036764042007,-4.712931993900883,-4.7135786990486865
male,28,-4.6818218672636505,-4.681939013565403,-4.682585718713207
male,29,-5.099214550320882,-5.09897667051954,-5.099623375667344
male,30,-4.947151460907571,-4.9471634843799,-4.947810189527704
male,31,-4.828006368040444,-4.828202093201535,-4.8288487983493384
male,32,-5.535573342327801,-5.5349865462640775,-5.535633251411881
male,33,-5.012816806232136,-5.012950574246886,-5.0135972793946895
male,34,-4.957626869299351,-4.957491131140897,-4.958137836288701
male,35,-4.53737407450262,-4.5376579263444805,-4.538304631492284
male,36,-5.281756168055779,-5.281352238404312,-5.281998943552116
male,37,-5.345462060962841,-5.345050796369049,-5.345697501516852
male,38,-4.495008732086602,-4.495433906619205,-4.496080611767009
male,39,-5.733193221356124,-5.732069437106862,-5.732716142254666
male,40,-5.293928058745957,-5.29402517650333,-5.294671881651134
male,41,-5.141996899361247,-5.142047116995234,-5.142693822143038
male,42,-5.115751049407745,-5.115645264423948,-5.116291969571752
male,43,-4.751415602841557,-4.751750139632792,-4.752396844780596
male,44,-6.356037262693798,-6.354351084194361,-6.354997789342165
