sex,age,disclosed,level,median_abs_gap,max_abs_gap
male,50,both,graduate+nh_aian,23.79010439213394,684.8821968958853
male,50,both,graduate+nh_nhpi,32.333453926215284,942.7825335639429
male,50,both,graduate+nh_twoplus,14.88803184396373,80.35091420597574
male,50,both,graduate+nh_other,38.830400498524114,322.42659345958253
female,25,edu,hs_or_less,11.212614856916218,48.51763270209511
female,25,edu,some_college,5.424563279853444,22.146226907550385
female,25,edu,bachelors,8.156650760615591,28.680325823805987
female,25,edu,graduate,12.540346767211759,69.56828480424917
female,25,race,hispanic,32.43939020743784,189.92379011840058
female,25,race,nh_white,18.262552902086085,54.65539243183535
female,25,race,nh_black,36.62603017831696,242.9194626874156
female,25,race,nh_asian,30.388157885439092,308.12210877558704
female,25,race,nh_aian,14.4071428407904,333.21063510637134
female,25,race,nh_nhpi,31.096105753450885,621.2610075389443
female,25,race,nh_twoplus,7.618484471941144,71.20129371535036
female,25,race,nh_other,17.001259303169206,115.45013868766097
female,25,both,hs_or_less+hispanic,35.40248780330941,203.00558626461145
female,25,both,hs_or_less+nh_white,23.3729553702356,88.76138878883776
female,25,both,hs_or_less+nh_black,39.072744057446016,294.23978896653546
female,25,both,hs_or_less+nh_asian,15.390691259751762,137.104688364439
female,25,both,hs_or_less+nh_aian,20.292146136155523,493.62873264607447
female,25,both,hs_or_less+nh_nhpi,31.737134611544448,904.9518751394827
female,25,both,hs_or_less+nh_twoplus,15.50797235458802,103.37531215165556
female,25,both,hs_or_less+nh_other,17.677749930572716,153.31320320169166
female,25,both,some_college+hispanic,33.08387300615893,203.3906443387835
female,25,both,some_college+nh_white,20.828215994507218,66.55594182576134
female,25,both,some_college+nh_black,37.23273617005839,250.42672325036028
female,25,both,some_college+nh_asian,20.09695666542217,202.31404748787094
female,25,both,some_college+nh_aian,15.881264556384977,303.2307387467694
female,25,both,some_college+nh_nhpi,29.898568130403262,573.3971632722925
female,25,both,some_college+nh_twoplus,10.163688373452032,79.19854018799863
female,25,both,some_college+nh_other,17.111932783400462,120.82795449478829
female,25,both,bachelors+hispanic,30.587111380929855,162.9718686795935
female,25,both,bachelors+nh_white,15.97417767685387,59.97578505665495
female,25,both,bachelors+nh_black,35.42479965579811,222.71631139141067
female,25,both,bachelors+nh_asian,32.81895630786995,316.00862349041273
female,25,both,bachelors+nh_aian,14.298927031070733,263.5251479517539
female,25,both,bachelors+nh_nhpi,26.723323803264634,285.8627985452604
female,25,both,bachelors+nh_twoplus,8.403472369518653,53.45313771752255
female,25,both,bachelors+nh_other,21.82803142208796,182.59413925593424
female,25,both,graduate+hispanic,29.711099391874228,148.1010429881643
female,25,both,graduate+nh_white,14.289812368975703,64.97237334807522
female,25,both,graduate+nh_black,35.72966172471,222.76817301345653
female,25,both,graduate+nh_asian,37.81858355289708,417.98880281038925
female,25,both,graduate+nh_aian,16.79172439784928,219.93634129939443
female,25,both,graduate+nh_nhpi,28.28754486474324,233.18153799271428
female,25,both,graduate+nh_twoplus,11.753140232895177,60.103671903929
female,25,both,graduate+nh_other,26.17327170934334,171.78527993149658
female,30,edu,hs_or_less,8.990517431223381,47.603432237617696
female,30,edu,some_college,4.9224866351447645,24.982337271744385
female,30,edu,bachelors,7.630945040987484,30.4781442906541
female,30,edu,graduate,13.294548921887,75.24609935406663
female,30,race,hispanic,30.89798464681067,183.0337841781314
female,30,race,nh_white,19.429726900897293,52.313828043872405
female,30,race,nh_black,33.42105659827395,200.0906707112988
female,30,race,nh_asian,30.369489389313244,341.96513682602125
female,30,race,nh_aian,16.513125259217617,476.12201647967214
female,30,race,nh_nhpi,30.46489873313807,1144.518002144248
female,30,race,nh_twoplus,8.283693544580743,56.722337718998574
female,30,race,nh_other,18.345258566360897,251.8417338545303
female,30,both,hs_or_less+hispanic,32.85650926486119,199.6248707667622
female,30,both,hs_or_less+nh_white,24.861418846909388,94.59300435602819
female,30,both,hs_or_less+nh_black,37.20023260723764,254.98643471215956
female,30,both,hs_or_less+nh_asian,17.032896377065356,131.20865143475453
female,30,both,hs_or_less+nh_aian,19.744801712164573,638.4953152112784
female,30,both,hs_or_less+nh_nhpi,33.03111957473642,1636.3843089363247
female,30,both,hs_or_less+nh_twoplus,14.516631920806532,93.38694623553727
female,30,both,hs_or_less+nh_other,18.47419108998149,273.7837363383249
female,30,both,some_college+hispanic,30.30438541964262,188.09448545056082
female,30,both,some_college+nh_white,22.16892805614212,66.87987604539114
female,30,both,some_college+nh_black,35.8208556693094,207.88299599420236
female,30,both,some_college+nh_asian,19.332113417462892,203.17309289009324
female,30,both,some_college+nh_aian,16.432384223495802,435.486261122792
female,30,both,some_college+nh_nhpi,30.402277740928,969.1482263493501
female,30,both,some_college+nh_twoplus,11.030125161422362,61.93107529946474
female,30,both,some_college+nh_other,17.319075044026206,203.49655893762522
female,30,both,bachelors+hispanic,30.02336713081202,167.60511362813708
female,30,both,bachelors+nh_white,16.797761112228855,57.14877580028116
