sex_s,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
female,5,0.9482752316242081,0.9482982103383167,0.9466856049602878
female,6,0.7458509563036443,0.745872510301902,0.7442599049238731
female,7,0.5470354987153003,0.5470615336816866,0.5454489283036577
female,8,0.3715482977812176,0.3715640685600048,0.3699514631819758
female,9,0.1951986828852438,0.19522495214670899,0.19361234676868003
female,10,0.05649997680733065,0.056491038812543526,0.05487843343451456
female,11,-0.15467486778445627,-0.1546552208364937,-0.15626782621452265
female,12,-0.3711781844331949,-0.3711439062272626,-0.3727565116052916
female,13,-0.5402714805227339,-0.5402641640521044,-0.5418767694301334
female,14,-0.7342183143599528,-0.7342005980209667,-0.7358132033989957
female,15,-0.9272544136904749,-0.9272198189004623,-0.9288324242784913
female,16,-1.0570978013495873,-1.057095100701128,-1.058707706079157
female,17,-1.2084106688765723,-1.2084089594857217,-1.2100215648637507
female,18,-1.394302190225223,-1.394281369019894,-1.395893974397923
female,19,-1.561822358764928,-1.5617970108481847,-1.5634096162262137
female,20,-1.6858469720975293,-1.68589854178421,-1.687511147162239
female,21,-2.0418021671836066,-2.0416773549141376,-2.0432899602921664
female,22,-2.1156244180856136,-2.1156387921401305,-2.1172513975181593
female,23,-2.2506607979198803,-2.250657198755066,-2.252269804133095
female,24,-2.4053261679056006,-2.405306863603328,-2.4069194689813567
female,25,-2.532371206768207,-2.5323548015562314,-2.53396740693426
female,26,-2.6320051149434853,-2.632057963139923,-2.633670568517952
female,27,-2.9556946382590894,-2.9555846748025,-2.957197280180529
female,28,-3.030001547363611,-3.030026752914622,-3.031639358292651
female,29,-3.208012170656889,-3.2079172202699047,-3.2095298256479334
female,30,-3.1285339430560666,-3.128651190890707,-3.1302637962687356
female,31,-3.4636201974285217,-3.463585582229773,-3.4651981876078017
female,32,-3.8700651207833188,-3.8697898277493405,-3.8714024331273693
female,33,-3.6006304078506943,-3.6007815149058393,-3.602394120283868
female,34,-3.8421134633110086,-3.8421310552674415,-3.8437436606454702
female,35,-4.307555518675534,-4.307069127980939,-4.308681733358968
female,36,-3.6748328291595174,-3.6752051563855757,-3.6768177617636044
female,37,-4.756375903808613,-4.755611838379479,-4.757224443757508
female,38,-4.61423260783828,-4.614250930406715,-4.615863535784745
female,39,-4.514802686105991,-4.514821137958115,-4.516433743336144
female,40,-4.45756359029678,-4.4576604850463815,-4.459273090424411
female,41,-4.766019296531114,-4.765919385819445,-4.767531991197474
female,42,-4.932073610431645,-4.932049120580881,-4.933661725958911
female,43,-5.128428778645989,-5.127908391966657,-5.129520997344686
female,44,-4.1590164050069935,-4.159334581032022,-4.160947186410051
female,45,-4.395869921795932,-4.395642617981716,-4.397255223359745
female,46,-4.024484952474429,-4.02474088928074,-4.026353494658769
female,47,-4.698198618777238,-4.69763447631769,-4.699247081695719
female,48,-4.344130722353983,-4.344185369260227,-4.3457979746382565
female,49,-3.9047994819888774,-3.905177489853265,-3.906790095231294
female,50,-9.210340371976182,-9.210340371976182,-9.21195297735421
female,51,-9.210340371976182,-9.210340371976182,-9.21195297735421
female,52,-9.210340371976182,-9.210340371976182,-9.21195297735421
