sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,nh_white,nh_nhpi,hs_or_less,some_college,1.0944,0.09016,34.3
male,nh_white,nh_nhpi,hs_or_less,bachelors,1.2099,0.19052,15.4
male,nh_white,nh_nhpi,hs_or_less,graduate,1.0756,0.0729,5.1
male,nh_white,nh_nhpi,some_college,hs_or_less,0.9355,-0.06668,21.2
male,nh_white,nh_nhpi,some_college,some_college,0.9597,-0.0411,38.1
male,nh_white,nh_nhpi,some_college,bachelors,1.22,0.19882,21.8
male,nh_white,nh_nhpi,some_college,graduate,1.1271,0.11962,9.1
male,nh_white,nh_nhpi,bachelors,hs_or_less,0.9038,-0.1011,7.8
male,nh_white,nh_nhpi,bachelors,some_college,0.8845,-0.12268,12.2
male,nh_white,nh_nhpi,bachelors,bachelors,0.9706,-0.02983,18.5
male,nh_white,nh_nhpi,bachelors,graduate,0.9873,-0.01278,7.8
male,nh_white,nh_nhpi,graduate,hs_or_less,0.9573,-0.04369,2.6
male,nh_white,nh_nhpi,graduate,some_college,1.0666,0.06451,9.4
male,nh_white,nh_nhpi,graduate,bachelors,0.9516,-0.04961,5.4
male,nh_white,nh_nhpi,graduate,graduate,0.9224,-0.08079,4.6
male,nh_white,nh_twoplus,hs_or_less,hs_or_less,1.1767,0.16269,1891.2
male,nh_white,nh_twoplus,hs_or_less,some_college,1.1835,0.1685,1762.6
male,nh_white,nh_twoplus,hs_or_less,bachelors,1.0294,0.02894,656.4
male,nh_white,nh_twoplus,hs_or_less,graduate,0.9086,-0.09583,216.6
male,nh_white,nh_twoplus,some_college,hs_or_less,1.04,0.03924,853.1
male,nh_white,nh_twoplus,some_college,some_college,0.9371,-0.06498,2032.8
male,nh_white,nh_twoplus,some_college,bachelors,1.0564,0.05489,1180.0
male,nh_white,nh_twoplus,some_college,graduate,1.0647,0.06265,475.5
male,nh_white,nh_twoplus,bachelors,hs_or_less,0.8779,-0.13019,358.0
male,nh_white,nh_twoplus,bachelors,some_college,0.9709,-0.02954,972.9
male,nh_white,nh_twoplus,bachelors,bachelors,1.1254,0.11812,2255.9
male,nh_white,nh_twoplus,bachelors,graduate,1.1504,0.14011,1098.9
male,nh_white,nh_twoplus,graduate,hs_or_less,0.7366,-0.30573,89.1
male,nh_white,nh_twoplus,graduate,some_college,0.8632,-0.1471,282.0
male,nh_white,nh_twoplus,graduate,bachelors,1.0083,0.00822,730.5
male,nh_white,nh_twoplus,graduate,graduate,0.9786,-0.02165,930.4
male,nh_white,nh_other,hs_or_less,hs_or_less,0.8434,-0.17034,50.2
male,nh_white,nh_other,hs_or_less,some_college,0.7126,-0.33885,23.5
male,nh_white,nh_other,hs_or_less,bachelors,1.231,0.2078,37.9
male,nh_white,nh_other,hs_or_less,graduate,1.0681,0.06587,13.7
male,nh_white,nh_other,some_college,hs_or_less,0.9076,-0.09694,27.4
male,nh_white,nh_other,some_college,some_college,0.9626,-0.03814,70.5
male,nh_white,nh_other,some_college,bachelors,0.9768,-0.0235,40.3
male,nh_white,nh_other,some_college,graduate,0.9882,-0.01184,18.1
male,nh_white,nh_other,bachelors,hs_or_less,1.0544,0.05293,20.0
male,nh_white,nh_other,bachelors,some_college,0.9832,-0.01692,32.8
male,nh_white,nh_other,bachelors,bachelors,1.1031,0.09809,85.0
male,nh_white,nh_other,bachelors,graduate,0.9201,-0.08322,33.0
male,nh_white,nh_other,graduate,hs_or_less,1.1571,0.14592,12.5
male,nh_white,nh_other,graduate,some_college,1.0439,0.04299,13.8
male,nh_white,nh_other,graduate,bachelors,1.1558,0.14481,38.0
male,nh_white,nh_other,graduate,graduate,1.0215,0.02129,41.9
male,nh_black,hispanic,hs_or_less,hs_or_less,0.6399,-0.44642,1146.2
male,nh_black,hispanic,hs_or_less,some_college,0.9859,-0.01417,826.7
male,nh_black,hispanic,hs_or_less,bachelors,0.8761,-0.1323,229.8
male,nh_black,hispanic,hs_or_less,graduate,1.2424,0.21704,112.9
male,nh_black,hispanic,some_college,hs_or_less,0.8502,-0.16229,641.7
male,nh_black,hispanic,some_college,some_college,1.0905,0.08666,1121.7
male,nh_black,hispanic,some_college,bachelors,1.0323,0.03175,407.4
male,nh_black,hispanic,some_college,graduate,1.1211,0.11427,146.1
male,nh_black,hispanic,bachelors,hs_or_less,0.8539,-0.15799,193.6
male,nh_black,hispanic,bachelors,some_college,1.0533,0.05195,306.9
male,nh_black,hispanic,bachelors,bachelors,0.9804,-0.01982,414.8
male,nh_black,hispanic,bachelors,graduate,1.3148,0.27367,231.1
male,nh_black,hispanic,graduate,hs_or_less,1.0379,0.03723,81.5
male,nh_black,hispanic,graduate,some_college,1.1193,0.11274,104.6
male,nh_black,hispanic,graduate,bachelors,0.8858,-0.12126,125.6
male,nh_black,hispanic,graduate,graduate,1.1329,0.1248,181.7
male,nh_black,nh_white,hs_or_less,hs_or_less,1.2533,0.22574,2293.8
male,nh_black,nh_white,hs_or_less,some_college,1.0645,0.06253,1648.6
male,nh_black,nh_white,hs_or_less,bachelors,0.7789,-0.24981,618.6
male,nh_black,nh_white,hs_or_less,graduate,1.0028,0.00276,333.3
male,nh_black,nh_white,some_college,hs_or_less,1.3947,0.33268,1051.1
male,nh_black,nh_white,some_college,some_college,0.9873,-0.01277,1783.3
male,nh_black,nh_white,some_college,bachelors,0.8176,-0.20134,934.9
male,nh_black,nh_white,some_college,graduate,0.9963,-0.00367,485.4
male,nh_black,nh_white,bachelors,hs_or_less,1.1657,0.15328,264.5
male,nh_black,nh_white,bachelors,some_college,1.1518,0.14131,572.6
male,nh_black,nh_white,bachelors,bachelors,0.8767,-0.13161,1061.3
male,nh_black,nh_white,bachelors,graduate,0.9473,-0.05418,597.9
male,nh_black,nh_white,graduate,hs_or_less,1.1016,0.09674,84.7
male,nh_black,nh_white,graduate,some_college,1.0969,0.09251,178.6
male,nh_black,nh_white,graduate,bachelors,0.7403,-0.30075,305.9
male,nh_black,nh_white,graduate,graduate,0.8494,-0.16323,500.7
male,nh_black,nh_black,hs_or_less,hs_or_less,1.1237,0.1166,11792.5
male,nh_black,nh_black,hs_or_less,some_college,1.0715,0.06906,8069.3
male,nh_black,nh_black,hs_or_less,bachelors,1.2431,0.21764,2737.7
male,nh_black,nh_black,hs_or_less,graduate,1.34,0.29264,1451.7
male,nh_black,nh_black,some_college,hs_or_less,0.8649,-0.14519,3775.8
male,nh_black,nh_black,some_college,some_college,0.8804,-0.12736,7906.5
male,nh_black,nh_black,some_college,bachelors,0.9968,-0.00316,3117.0
male,nh_black,nh_black,some_college,graduate,1.147,0.13712,1801.3
male,nh_black,nh_black,bachelors,hs_or_less,0.8913,-0.11512,1185.4
male,nh_black,nh_black,bachelors,some_college,0.8022,-0.22038,2010.0
male,nh_black,nh_black,bachelors,bachelors,0.8953,-0.11063,2964.1
male,nh_black,nh_black,bachelors,graduate,0.8822,-0.1253,1796.0
male,nh_black,nh_black,graduate,hs_or_less,1.1541,0.1433,519.6
male,nh_black,nh_black,graduate,some_college,0.9275,-0.07521,767.4
male,nh_black,nh_black,graduate,bachelors,0.9227,-0.08044,1110.8
male,nh_black,nh_black,graduate,graduate,0.9658,-0.03478,1899.9
male,nh_black,nh_asian,hs_or_less,hs_or_less,0.8723,-0.13668,113.0
male,nh_black,nh_asian,hs_or_less,some_college,0.7787,-0.25015,67.5
male,nh_black,nh_asian,hs_or_less,bachelors,0.7997,-0.22346,72.1
male,nh_black,nh_asian,hs_or_less,graduate,0.7488,-0.28931,25.7
male,nh_black,nh_asian,some_college,hs_or_less,1.1242,0.11711,65.7
male,nh_black,nh_asian,some_college,some_college,1.2722,0.24073,159.5
male,nh_black,nh_asian,some_college,bachelors,0.9413,-0.06051,136.4
male,nh_black,nh_asian,some_college,graduate,0.6855,-0.3776,37.6
male,nh_black,nh_asian,bachelors,hs_or_less,1.592,0.46499,43.3
male,nh_black,nh_asian,bachelors,some_college,1.3269,0.28284,53.9
male,nh_black,nh_asian,bachelors,bachelors,0.8566,-0.15482,129.0
male,nh_black,nh_asian,bachelors,graduate,0.871,-0.13806,84.0
male,nh_black,nh_asian,graduate,hs_or_less,1.2024,0.18435,13.5
male,nh_black,nh_asian,graduate,some_college,1.3537,0.30284,25.1
male,nh_black,nh_asian,graduate,bachelors,1.0009,0.0009,54.0
male,nh_black,nh_asian,graduate,graduate,1.0374,0.03669,96.8
male,nh_black,nh_aian,hs_or_less,hs_or_less,1.1333,0.12513,58.8
male,nh_black,nh_aian,hs_or_less,some_college,1.1871,0.17149,44.1
male,nh_black,nh_aian,hs_or_less,bachelors,1.0768,0.07398,9.7
male,nh_black,nh_aian,hs_or_less,graduate,0.9797,-0.02049,1.4
male,nh_black,nh_aian,some_college,hs_or_less,1.0365,0.03584,22.1
male,nh_black,nh_aian,some_college,some_college,0.8619,-0.14859,26.7
male,nh_black,nh_aian,some_college,bachelors,0.8616,-0.14901,2.0
male,nh_black,nh_aian,some_college,graduate,0.9531,-0.04807,1.1
male,nh_black,nh_aian,bachelors,hs_or_less,1.0953,0.09107,10.2
male,nh_black,nh_aian,bachelors,some_college,0.9794,-0.02081,9.5
male,nh_black,nh_aian,bachelors,bachelors,1.0104,0.01037,9.9
male,nh_black,nh_aian,bachelors,graduate,0.94,-0.06186,1.3
male,nh_black,nh_aian,graduate,hs_or_less,0.9813,-0.01888,1.3
male,nh_black,nh_aian,graduate,some_college,1.0474,0.04631,5.4
male,nh_black,nh_aian,graduate,bachelors,0.9822,-0.01796,2.7
male,nh_black,nh_aian,graduate,graduate,0.9337,-0.06863,1.0
male,nh_black,nh_nhpi,hs_or_less,hs_or_less,0.9715,-0.02891,26.1
male,nh_black,nh_nhpi,hs_or_less,some_college,1.0091,0.00902,16.6
male,nh_black,nh_nhpi,hs_or_less,bachelors,1.0762,0.07345,6.9
male,nh_black,nh_nhpi,hs_or_less,graduate,1.0301,0.02963,2.4
male,nh_black,nh_nhpi,some_college,hs_or_less,1.3226,0.27959,26.6
male,nh_black,nh_nhpi,some_college,some_college,0.8805,-0.12728,12.2
male,nh_black,nh_nhpi,some_college,bachelors,1.0145,0.01444,6.1
male,nh_black,nh_nhpi,some_college,graduate,0.9777,-0.02251,1.0
male,nh_black,nh_nhpi,bachelors,hs_or_less,0.918,-0.08559,0.1
male,nh_black,nh_nhpi,bachelors,some_college,0.9831,-0.01701,4.7
male,nh_black,nh_nhpi,bachelors,bachelors,0.9438,-0.05783,3.3
male,nh_black,nh_nhpi,bachelors,graduate,0.9544,-0.04672,0.6
male,nh_black,nh_nhpi,graduate,hs_or_less,1.0368,0.0361,2.6
male,nh_black,nh_nhpi,graduate,some_college,0.9603,-0.04054,0.1
male,nh_black,nh_nhpi,graduate,bachelors,1.0391,0.03837,3.7
male,nh_black,nh_nhpi,graduate,graduate,0.9472,-0.05423,0.1
male,nh_black,nh_twoplus,hs_or_less,hs_or_less,0.988,-0.01206,463.2
male,nh_black,nh_twoplus,hs_or_less,some_college,1.2031,0.18493,529.9
male,nh_black,nh_twoplus,hs_or_less,bachelors,0.731,-0.31332,122.3
male,nh_black,nh_twoplus,hs_or_less,graduate,1.2139,0.19387,95.3
male,nh_black,nh_twoplus,some_college,hs_or_less,1.0189,0.01877,202.6
male,nh_black,nh_twoplus,some_college,some_college,1.029,0.02857,541.6
male,nh_black,nh_twoplus,some_college,bachelors,0.9605,-0.04034,257.5
male,nh_black,nh_twoplus,some_college,graduate,1.1932,0.17661,136.4
male,nh_black,nh_twoplus,bachelors,hs_or_less,1.0504,0.04913,65.4
male,nh_black,nh_twoplus,bachelors,some_college,1.1627,0.15077,177.1
male,nh_black,nh_twoplus,bachelors,bachelors,0.8464,-0.16672,239.2
male,nh_black,nh_twoplus,bachelors,graduate,1.0152,0.01509,146.9
male,nh_black,nh_twoplus,graduate,hs_or_less,0.9436,-0.05804,15.8
male,nh_black,nh_twoplus,graduate,some_college,1.0275,0.02715,49.0
male,nh_black,nh_twoplus,graduate,bachelors,0.8216,-0.19647,75.0
