sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
female,18-70,-25,-3.613709931886361,-3.6131245112445516,-3.6143918808309246
female,18-70,-24,-2.9087519270462243,-2.90884773010032,-2.910115099686693
female,18-70,-23,-2.7344495493888044,-2.7345200429339447,-2.7357874125203177
female,18-70,-22,-2.7927764595375395,-2.7926845406875556,-2.7939519102739285
female,18-70,-21,-2.6048469083967647,-2.6047313075350713,-2.6059986771214443
female,18-70,-20,-2.2059654192594107,-2.2060979901268447,-2.2073653597132177
female,18-70,-19,-2.285863509665225,-2.285761558729323,-2.287028928315696
female,18-70,-18,-2.0920885977319124,-2.091997314257685,-2.093264683844058
female,18-70,-17,-1.7400502506312252,-1.740203141175285,-1.741470510761658
female,18-70,-16,-1.922057115906622,-1.9219246683820543,-1.9231920379684273
female,18-70,-15,-1.7458661201055548,-1.7457452387890111,-1.747012608375384
female,18-70,-14,-1.3459287130234203,-1.3459827787234788,-1.3472501483098518
female,18-70,-13,-1.2094698159173605,-1.209435241865086,-1.210702611451459
female,18-70,-12,-1.015634687745355,-1.0156102963318316,-1.0168776659182046
female,18-70,-11,-0.8078501195952578,-0.8078366677649409,-0.809104037351314
female,18-70,-10,-0.6152492490371803,-0.6152390619058737,-0.6165064314922468
female,18-70,-9,-0.4396022436007512,-0.43950691103060013,-0.44077428061697316
female,18-70,-8,-0.0829672153099155,-0.08298683752529701,-0.08425420711167005
female,18-70,-7,0.12267751903629535,0.12268012337205857,0.12141275378568553
female,18-70,-6,0.29246472253961336,0.29246521950853277,0.29119784992215975
female,18-70,-5,0.433273920757549,0.4333057351498156,0.43203836556344255
female,18-70,-4,0.6326862863944512,0.6327414645691022,0.6314740949827291
female,18-70,-3,0.9264968268141797,0.9265235559455828,0.9252561863592097
female,18-70,-2,1.215067253690453,1.2151230397502248,1.2138556701638519
female,18-70,-1,1.5684806528839779,1.5684721224677876,1.5672047528814146
female,18-70,0,1.8167576052188246,1.8166284319744461,1.8153610623880732
female,18-70,1,1.6321166585840223,1.6321063013804726,1.6308389317940997
female,18-70,2,1.339814120942057,1.339863349393828,1.338595979807455
female,18-70,3,1.0955870572159632,1.0956082680632049,1.094340898476832
female,18-70,4,0.8269361191570788,0.8270017738802103,0.8257344042938373
female,18-70,5,0.6855273777457686,0.6855445875979325,0.6842772180115594
female,18-70,6,0.565940426052132,0.5659518962287728,0.5646845266423998
female,18-70,7,0.4568812442399528,0.45686014534135677,0.45559277575498375
female,18-70,8,0.2446339674597873,0.24463053515160152,0.24336316556522847
female,18-70,9,-0.0650204071260397,-0.06494943220014585,-0.06621680178651888
female,18-70,10,-0.25292895731465287,-0.2529144008124495,-0.2541817703988225
female,18-70,11,-0.4487837870180981,-0.4487730861213344,-0.4500404557077074
female,18-70,12,-0.671741374763544,-0.6717035225293788,-0.6729708921157519
female,18-70,13,-0.8361087077815181,-0.8360876094240565,-0.8373549790104295
female,18-70,14,-0.9725980776203176,-0.9726598892848928,-0.9739272588712659
female,18-70,15,-1.3990699688573556,-1.398938343302886,-1.4002057128892589
female,18-70,16,-1.5743093193869857,-1.574190690071659,-1.5754580596580319
female,18-70,17,-1.4271570558419417,-1.427299550329476,-1.428566919915849
female,18-70,18,-1.776881717254821,-1.7767883606659036,-1.7780557302522766
female,18-70,19,-1.9488962853707505,-1.9488209574151976,-1.9500883270015705
female,18-70,20,-1.9186958760365431,-1.9187646716055455,-1.9200320411919185
female,18-70,21,-2.1183005974576203,-2.1183508845846193,-2.1196182541709923
female,18-70,22,-2.609881893144484,-2.6096192286631568,-2.6108865982495297
female,18-70,23,-2.485290241680859,-2.485441754376574,-2.486709123962947
