sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,nh_white,hispanic,bachelors,graduate,1.6287,0.48778,1770.0
male,nh_white,hispanic,graduate,hs_or_less,0.6531,-0.42606,360.0
male,nh_white,hispanic,graduate,some_college,0.923,-0.08011,669.2
male,nh_white,hispanic,graduate,bachelors,1.2543,0.22655,1400.1
male,nh_white,hispanic,graduate,graduate,1.4494,0.37116,1618.5
male,nh_white,nh_white,hs_or_less,hs_or_less,1.1949,0.17804,43374.3
male,nh_white,nh_white,hs_or_less,some_college,1.1602,0.14858,33185.9
male,nh_white,nh_white,hs_or_less,bachelors,0.9844,-0.0157,15273.0
male,nh_white,nh_white,hs_or_less,graduate,0.9159,-0.08786,5924.6
male,nh_white,nh_white,some_college,hs_or_less,0.9379,-0.06414,18253.6
male,nh_white,nh_white,some_college,some_college,0.942,-0.0598,40944.1
male,nh_white,nh_white,some_college,bachelors,1.0558,0.05432,26183.6
male,nh_white,nh_white,some_college,graduate,1.0428,0.04193,11003.0
male,nh_white,nh_white,bachelors,hs_or_less,0.8294,-0.18703,7224.1
male,nh_white,nh_white,bachelors,some_college,0.8347,-0.18067,17136.4
male,nh_white,nh_white,bachelors,bachelors,1.0573,0.05569,48807.0
male,nh_white,nh_white,bachelors,graduate,1.0975,0.09307,24264.6
male,nh_white,nh_white,graduate,hs_or_less,0.7736,-0.25674,2246.0
male,nh_white,nh_white,graduate,some_college,0.7346,-0.30841,5131.9
male,nh_white,nh_white,graduate,bachelors,0.9568,-0.04413,16848.8
male,nh_white,nh_white,graduate,graduate,0.9374,-0.06463,21625.7
male,nh_white,nh_black,hs_or_less,hs_or_less,0.7364,-0.30592,465.5
male,nh_white,nh_black,hs_or_less,some_college,0.9854,-0.01467,425.8
male,nh_white,nh_black,hs_or_less,bachelors,1.3005,0.26273,169.7
male,nh_white,nh_black,hs_or_less,graduate,1.3719,0.31617,94.0
male,nh_white,nh_black,some_college,hs_or_less,0.7008,-0.35551,235.9
male,nh_white,nh_black,some_college,some_college,0.761,-0.27313,503.8
male,nh_white,nh_black,some_college,bachelors,1.3591,0.30686,281.3
male,nh_white,nh_black,some_college,graduate,1.2553,0.2274,132.5
