# Pew Research Center, "Intermarriage across the U.S. by metro area"
# (feature, May 18 2017), data endpoint
# https://www.pewresearch.org/wp-json/prc-api/v2/interactive?slug=intermarriage-map
# accessed 2026-09-16. Percent of newlyweds married to someone of a
# different race or ethnicity, 2011-2015 ACS; Pew includes only metros with
# at least 200 newlyweds in sample; "-" = not published for that group.
# msa_code is the CBSA code of Pew's (2015-vintage) delineation.
# VALIDATION REFERENCE ONLY (soft, directional): read by build.validate,
# never shipped in the artifact, never scored. Phase 3's gate is to
# REPRODUCE this table from PUMS couple linkage; the interim pairing rate is
# only checked for direction against it. (c) Pew Research Center, used as a
# factual reference with attribution.
msa_code,metro_name,total,whites,blacks,hisps,asians
31140,"Louisville-Jefferson County, KY-IN",9,5,-,-,-
32580,"McAllen-Edinburg-Mission, TX",11,-,-,6,-
32820,"Memphis, TN-MS-AR",10,7,-,-,-
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",24,28,14,20,-
33340,"Milwaukee-Waukesha-West Allis, WI",13,8,-,-,-
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15,9,-,-,-
33660,"Mobile, AL",10,-,-,-,-
33700,"Modesto, CA",26,-,-,-,-
34980,"Nashville-Davidson–Murfreesboro–Franklin, TN",10,6,-,-,-
35300,"New Haven-Milford, CT",10,6,-,-,-
35380,"New Orleans-Metairie, LA",16,12,-,-,-
35620,"New York-Newark-Jersey City, NY-NJ-PA",18,14,15,23,21
35840,"North Port-Sarasota-Bradenton, FL",13,8,-,-,-
36260,"Ogden-Clearfield, UT",27,16,-,-,-
36420,"Oklahoma City, OK",23,14,-,-,-
36540,"Omaha-Council Bluffs, NE-IA",15,8,-,-,-
36740,"Orlando-Kissimmee-Sanford, FL",24,20,-,25,-
37100,"Oxnard-Thousand Oaks-Ventura, CA",22,20,-,-,-
37340,"Palm Bay-Melbourne-Titusville, FL",29,-,-,-,-
37860,"Pensacola-Ferry Pass-Brent, FL",18,11,-,-,-
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",14,8,14,-,-
38060,"Phoenix-Mesa-Scottsdale, AZ",25,18,-,32,-
38300,"Pittsburgh, PA",10,5,-,-,-
38860,"Portland-South Portland, ME",10,4,-,-,-
38900,"Portland-Vancouver-Hillsboro, OR-WA",19,11,-,-,-
39300,"Providence-Warwick, RI-MA",11,7,-,-,-
39340,"Provo-Orem, UT",14,7,-,-,-
39580,"Raleigh, NC",16,10,-,-,-
39900,"Reno, NV",21,13,-,-,-
40060,"Richmond, VA",12,8,-,-,-
