cbsa,slug,status,page_title,file_title,source_url,image_url,author,license,license_url,retrieved,sha256,file
29420,lake-havasu-city-arizona,ok,"Lake_Havasu_City,_Arizona","File:London_Bridge,_Lake_Havasu_City_-_2011_(Aerial_Photo).jpg","https://commons.wikimedia.org/wiki/File:London_Bridge,_Lake_Havasu_City_-_2011_(Aerial_Photo).jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e3/London_Bridge%2C_Lake_Havasu_City_-_2011_%28Aerial_Photo%29.jpg/1920px-London_Bridge%2C_Lake_Havasu_City_-_2011_%28Aerial_Photo%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,S. Winkvist,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2026-09-17,64db65b5e59cf358fe52d828e692af53fe6f2ed9919ea786f6237e9cae011af1,lake-havasu-city-arizona.jpg
12020,athens-georgia,ok,"Athens,_Georgia",File:Athens_Georgia_City_Hall_1.jpg,https://commons.wikimedia.org/wiki/File:Athens_Georgia_City_Hall_1.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/Athens_Georgia_City_Hall_1.jpg/1920px-Athens_Georgia_City_Hall_1.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Jud McCranie,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-17,cc7af39a1ec288b3595862841754ac5b18188ef8c6a9db8e84972c57727ed0b9,athens-georgia.jpg
17860,columbia-missouri,ok,"Columbia,_Missouri",File:Mizzou_Jesse_Thumb.jpg,https://commons.wikimedia.org/wiki/File:Mizzou_Jesse_Thumb.jpg,https://upload.wikimedia.org/wikipedia/commons/4/44/Mizzou_Jesse_Thumb.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Grey Wanderer at English Wikipedia,Public domain,,2026-09-17,c950d187b8c9566867cd06b2517c8d563c8e1c28d1f8fbae82b5fde6c46726ce,columbia-missouri.jpg
23580,gainesville-georgia,ok,"Gainesville,_Georgia","File:Downtown_Gainesville,_Georgia.jpg","https://commons.wikimedia.org/wiki/File:Downtown_Gainesville,_Georgia.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e9/Downtown_Gainesville%2C_Georgia.jpg/1920px-Downtown_Gainesville%2C_Georgia.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,ATLJonJon,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-09-17,d15a591ec9c55e247788763682e1c7ca65ee69868ef83494daa689673e84a9b5,gainesville-georgia.jpg
37460,panama-city-florida,ok,"Panama_City,_Florida",File:Panama_City_FL_City_Hall.jpg,https://commons.wikimedia.org/wiki/File:Panama_City_FL_City_Hall.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Panama_City_FL_City_Hall.jpg/1920px-Panama_City_FL_City_Hall.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Balon Greyjoy,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2026-09-17,855b3a5e4e94e06693a42a1f18c2031120c5e5aaf4e2826e7e4f4c9bb532cb18,panama-city-florida.jpg
49740,yuma-arizona,ok,"Yuma,_Arizona",File:Old_Yuma_City_Hall.jpg,https://commons.wikimedia.org/wiki/File:Old_Yuma_City_Hall.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e3/Old_Yuma_City_Hall.jpg/1920px-Old_Yuma_City_Hall.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Cbl62,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-17,9ed2b6a5808b87feb59fe2d0afa35e139d61c9121bdb3c0e422e1b44bd3940c1,yuma-arizona.jpg
27740,johnson-city-tennessee,ok,"Johnson_City,_Tennessee",File:Johnson_City.jpg,https://commons.wikimedia.org/wiki/File:Johnson_City.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/79/Johnson_City.jpg/1920px-Johnson_City.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Mrgriffter,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-17,910580f2a7a1cafc390c1f86322a5b68c02c2fc68f86157ccc8d1bfde47aa351,johnson-city-tennessee.jpg
30500,lexington-park-maryland,no_lead_image,,,,,,,,,,
17020,chico-california,ok,"Chico,_California",File:ChicoSquare_(cropped).jpg,https://commons.wikimedia.org/wiki/File:ChicoSquare_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/ChicoSquare_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Travisthurston,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-17,91310c7e20562aa64aa4d070a19f402de31897a4aecbeb7d1a134cc57e9937e2,chico-california.jpg
27340,jacksonville-north-carolina,ok,"Jacksonville,_North_Carolina","File:Jacksonville,_North_Carolina_collage.jpg","https://commons.wikimedia.org/wiki/File:Jacksonville,_North_Carolina_collage.jpg",https://upload.wikimedia.org/wikipedia/commons/6/6f/Jacksonville%2C_North_Carolina_collage.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Indy beetle,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2026-09-17,5df6cc9fd58a01267fc02406812abd4abe865bbc1064bc05ab0eef8d7f07c249,jacksonville-north-carolina.jpg
21140,elkhart-indiana,ok,"Elkhart,_Indiana","File:Elkhart,_Indiana_-_Main_Street.JPG","https://commons.wikimedia.org/wiki/File:Elkhart,_Indiana_-_Main_Street.JPG",https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b7/Elkhart%2C_Indiana_-_Main_Street.JPG/1920px-Elkhart%2C_Indiana_-_Main_Street.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Publichall,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-17,cb156b15e625b501903898daf2186fd844f767533f395710b055caa079a11350,elkhart-indiana.jpg
