cbsa,year,agencies,agencies_full_year,covered_pop,coverage,violent_per_100k,property_per_100k,agency_pop_over_census,zero_pop_offense_share
33140,2024,10,3,102153.0,0.9109985463690439,189.91121161395162,1255.9591984572162,0.9998394763361366,0.0
33140,2025,10,4,102583.0,0.9148332783391152,147.1978787908328,1002.1153602448749,0.9929637127339855,0.0
33220,2021,3,3,42433.0,0.505989060808372,186.1758536987722,697.5702872764123,0.505989060808372,0.12383177570093458
33220,2022,3,3,41171.0,0.49094043839797996,99.58465910470963,568.3612251341964,0.49094043839797996,0.13522012578616352
33220,2023,3,2,40314.0,0.48072120749013053,153.79272709232524,431.61184700104184,0.49581752759437486,0.09230769230769231
33220,2024,3,3,42633.0,0.5083739455009857,164.19205779560434,431.5905519198743,0.5083739455009857,0.07636363636363637
33220,2025,3,2,39994.0,0.47690539198194876,107.51612741911286,425.0637595639346,0.49195401439234077,0.08583690987124463
33260,2021,12,5,184357.0,1.0,419.8375977044539,1650.60182146596,1.0264720886976044,0.006248372819578235
33260,2022,12,5,168171.0,0.936350871560965,465.59751681324366,1961.6937521927086,0.936350871560965,0.0031746031746031746
33260,2023,12,6,174386.0,0.9709550581731121,447.85705274505983,2063.812462009565,0.9709550581731121,0.004997728305315766
33260,2024,12,10,182487.0,1.0,421.947864779409,1858.214557749319,1.0160602095399671,0.0038305003591094086
33260,2025,12,10,186991.0,1.0,416.0628051617457,1758.3733976501544,1.041137805115367,0.007081807081807082
33340,2021,60,46,1478285.0,0.9417699568321858,717.7912242903094,2574.4697402733573,0.9939491160026706,0.019876752054132432
33340,2022,60,51,1511124.0,0.9626906748347442,644.2886222441044,2089.239532956925,0.9713382532070067,0.01699150424787606
33340,2023,60,52,1507952.0,0.9606698910866364,634.105064352181,1846.1462964338389,0.9714312653215161,0.02459315668683497
33340,2024,60,49,1513319.0,0.9640890418987722,606.2832753702293,1791.4266588868575,0.9775783467797422,0.021070522851130417
33340,2025,60,50,1524771.0,0.9713847592642615,478.6292499004768,1547.5766524940466,0.9809465320496812,0.02203159127599633
33460,2021,133,122,3683009.0,0.9922417343952004,354.27553937554865,2325.4083821136464,1.0002669379133466,0.016796341864334173
33460,2022,133,128,3700380.0,0.9969216662574845,326.858322658754,2309.7357568682137,0.9988431027920426,0.017135949226817104
33460,2023,133,127,3704275.0,0.9979710206184076,299.62678256878877,1997.502885179961,1.0015862417144867,0.019812929088144495
33460,2024,133,128,3699201.0,0.9966040311377082,300.65952079922124,1923.604583800664,1.0129672239026353,0.01905147952979327
33460,2025,133,126,3783981.0,1.0,253.09323699035488,1669.1151461912732,1.0228656394545423,0.01778455970723671
33500,2021,8,8,76998.0,0.9985211235129614,218.1874853892309,1223.4084002181876,0.9985211235129614,0.0
33500,2022,8,8,76530.0,0.9924520322923573,245.65529857572193,875.4736704560303,0.9924520322923573,0.0
33500,2023,8,8,76107.0,0.986966507535273,307.4618629035437,1068.2328826520557,0.986966507535273,0.0
33500,2024,8,8,76200.0,0.9881725448932135,251.96850393700785,1019.6850393700788,0.9881725448932135,0.0
33500,2025,8,6,73461.0,0.9526527994803197,239.58290793754512,882.1007064973252,0.9775386671135228,0.0
33540,2021,4,4,129114.0,1.0,508.85264185138715,2244.528091454064,1.0244014383275268,0.02974890829694323
33540,2022,4,4,126016.0,0.9998216432941558,499.1429659725749,2477.463179278822,0.9998216432941558,0.0
33540,2023,4,4,126768.0,1.0,440.9630190584375,2570.838066388994,1.0057880751421528,0.025523226135783564
33540,2024,4,4,127033.0,1.0,486.4877630222068,2422.205253752962,1.0078906076417795,0.012823938017632914
33540,2025,4,4,128345.0,1.0,462.81506875998286,1974.3659667302973,1.0183001270361576,0.013871374527112233
33660,2021,15,11,394720.0,0.9565027746140984,732.4179164977706,2311.5119578435347,0.9694501659921971,0.005051341503809209
33660,2022,15,11,389056.0,0.9427775219909371,698.8711136700116,2391.1724790261555,0.9559381588193956,0.008331271137507217
33660,2023,15,12,392198.0,0.9503913538662854,621.6247915593655,2003.5798244764123,0.9503913538662854,0.0067528458421763455
33660,2024,15,13,392452.0,0.9510068577798241,551.6598208188517,1475.8492758350067,0.9543582038917294,0.010938471100062151
33660,2025,15,12,393343.0,0.9531659679647175,472.36127247720185,1326.577567161485,0.9531659679647175,0.018585298196948683
33700,2021,14,0,0.0,0.0,,,0.9910748141112913,0.0
33700,2022,14,14,553905.0,1.0,530.0547927893772,2020.382556575586,1.0001426440795484,0.029539053376382497
33700,2023,14,14,552620.0,0.997822420760311,467.4097933480511,1827.11447287467,0.997822420760311,0.03235653235653236
