cbsa,cross_group_pairing_rate,cross_group_pairing_moe,cross_group_pairing_n
27900,0.18414061055776956,0.016459964199443816,2067.3825602836314
27980,0.3744315832988838,0.02173145084369899,2009.8056753545845
28020,0.14664318149422712,0.015865907151433965,2036.726434271343
28100,0.13162908309951848,0.017990006249196645,1356.1420987500644
28140,0.16442371256777338,0.005818039089290249,20517.778933257465
28420,0.18915364712449645,0.014052649902585363,3035.6508996465286
28450,0.16153596889176927,0.025121575369392066,1043.4278315112547
28660,0.26542000626748863,0.012396308728647738,4787.991114157796
28700,0.07939234461670812,0.007562368163652638,5216.494899990728
28740,0.18917487496241864,0.0201879193763141,2169.5400115265948
28880,0.19256766475472686,0.00924085135713449,7328.292118667576
28940,0.10702497812037316,0.006837253178245689,11031.60636719519
29020,0.11651496982445107,0.012445334450305287,1469.0391447781124
29100,0.09941195296562277,0.016198923005922683,1649.599701294292
29180,0.1247480772866916,0.012379380071588167,3063.739815664592
29200,0.11268965744522366,0.01151960163445856,2206.574409926127
29340,0.13762827249714918,0.015567284924067773,1852.0318542800626
29420,0.2329039741163543,0.018890711571680752,1778.1747056246154
29460,0.16988224133160368,0.008439353688138192,6609.059662906898
29540,0.10194100095358208,0.00794556142303471,5155.799675786959
29620,0.18185730516313392,0.011360596337254766,4528.435220475379
29700,0.05562586490354477,0.009844387758083491,1913.4478164724942
29740,0.21790593035982112,0.019487961965275552,1220.3874748200333
29820,0.26540286181719885,0.006345272096465706,20162.05832040215
29940,0.2248352672331551,0.030590172744201966,742.6311999546725
30020,0.3416796453815742,0.03072742101591113,1084.2935387863927
30140,0.1291692040017399,0.019549699572419657,1291.5096609810994
30300,0.15060691925750538,0.014686600334556208,1826.0178965257355
30340,0.08674519420239085,0.01902887764736855,869.3526536307029
30460,0.13711795041896316,0.008575256129974559,5655.146471936644
30500,0.16641405083941732,0.01601818679231998,2160.820629232165
30620,0.12599781301257518,0.018494265482798693,1264.0794895678443
30700,0.1512593724945949,0.014271640368944814,2728.8169184620665
30780,0.12801433495729017,0.008404071132638627,5960.781260582152
30860,0.11924010713196198,0.011789843282298691,3131.3468013085862
30980,0.15235320491487714,0.013839836979202892,2914.196549467813
31020,0.20144462279293732,0.021299263609373415,1429.2845072565776
31080,0.20230918560639458,0.002437673259541166,124382.93979841389
31140,0.12473610697279981,0.006598967793099204,13879.656463534186
31180,0.18906977806587866,0.012914790274746452,3748.7488337953596
31340,0.11963539688568173,0.012372063061650363,2691.6192270222273
31420,0.0960585238514844,0.012727249964570456,2013.6820254673223
31540,0.14535686438242632,0.0124901070891977,5123.01069445964
31700,0.12407255131482392,0.011267186516018712,4589.016355877423
31740,0.19914276294098252,0.025987059470907365,1081.1388791853649
31860,0.11553283321344159,0.021951263884503597,858.5031510831317
31900,0.10810328680372831,0.017386720018089233,1139.4811482496705
32580,0.05378239187865475,0.005253318435530388,6183.458683197497
32780,0.2136562062433078,0.018786464502464035,1823.0507061592534
32820,0.09980853201752721,0.006669048543589349,10360.059125681833
32900,0.17064173940935232,0.017492031452463093,2278.006764448441
33100,0.16274242807381914,0.003809999867321634,47616.36204186871
33140,0.1526149403828442,0.021746595907870772,1001.056298137848
