search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
female:25:edu=bachelors:race=hispanic,193,8.09,13.76,34.64,0.921,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
female:25:edu=bachelors:race=nh_white,193,1.53,3.35,6.4,0.963,"Madison, WI | Boulder, CO | Ann Arbor, MI","Madison, WI | Boulder, CO | Portland, ME",False,9
female:25:edu=bachelors:race=nh_black,193,3.64,6.42,12.28,0.96,"Jackson, MS | Memphis, TN | Montgomery, AL","Jackson, MS | Memphis, TN | Montgomery, AL",False,10
female:25:edu=bachelors:race=nh_asian,193,2.64,4.95,32.63,0.965,"San Jose, CA | San Francisco, CA | Seattle, WA","San Jose, CA | San Francisco, CA | Seattle, WA",False,10
female:25:edu=bachelors:race=nh_aian,193,4.18,9.39,21.28,0.886,"Sioux Falls, SD | Tulsa, OK | Anchorage, AK","Sioux Falls, SD | Anchorage, AK | Tulsa, OK",False,10
female:25:edu=bachelors:race=nh_nhpi,193,6.74,13.53,122.28,0.904,"Hickory, NC | Fayetteville, AR | Honolulu, HI","Fayetteville, AR | Honolulu, HI | Hickory, NC",True,10
female:25:edu=bachelors:race=nh_twoplus,193,1.89,4.28,6.28,0.924,"Ann Arbor, MI | Fayetteville, AR | Boulder, CO","Ann Arbor, MI | Fayetteville, AR | Boulder, CO",False,9
female:25:edu=bachelors:race=nh_other,193,3.15,7.07,17.06,0.945,"New Orleans, LA | Savannah, GA | Greensboro, NC","New Orleans, LA | Gainesville, FL | Savannah, GA",False,10
female:25:edu=graduate:race=hispanic,193,9.08,16.24,43.16,0.868,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
female:25:edu=graduate:race=nh_white,193,0.99,2.97,4.88,0.976,"Boulder, CO | Madison, WI | Ann Arbor, MI","Madison, WI | Boulder, CO | Ann Arbor, MI",True,9
