sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
female,18-70,-5,-0.449985167475487,-0.44996689791673483,-0.45105572569964447
female,18-70,-4,-0.15895088414687472,-0.15888974269655118,-0.15997857047946082
female,18-70,-3,0.21078546403160273,0.21087256044563443,0.2097837326627248
female,18-70,-2,0.6752429522021081,0.6753900651573244,0.6743012373744147
female,18-70,-1,1.2900457525112374,1.2901509940627165,1.2890621662798067
female,18-70,0,1.8890445735560688,1.888876794005533,1.8877879662226233
female,18-70,1,1.8543332086324213,1.8542932318406358,1.853204404057726
female,18-70,2,1.6742948183799122,1.6743077891829847,1.673218961400075
female,18-70,3,1.4791493520611154,1.4791599638627542,1.4780711360798444
female,18-70,4,1.2502746857052607,1.2503080776111333,1.2492192498282235
female,18-70,5,1.0533067570269443,1.053322272972904,1.0522334451899942
female,18-70,6,0.8415997722207254,0.8416224736816914,0.8405336458987818
female,18-70,7,0.6337678567036663,0.6337944501292072,0.6327056223462976
female,18-70,8,0.44784379022294046,0.4478593456073469,0.4467705178244373
female,18-70,9,0.2562621864182293,0.25629712813312694,0.2552083003502173
female,18-70,10,0.127313537430636,0.1272922763160885,0.12620344853317886
female,18-70,11,-0.11477530398178082,-0.11474111896313573,-0.11582994674604538
female,18-70,12,-0.3249807734926142,-0.32495472784194074,-0.3260435556248504
female,18-70,13,-0.5124765003943662,-0.5124614001471214,-0.513550227930031
female,18-70,14,-0.7042378441590936,-0.7042173513431292,-0.7053061791260389
female,18-70,15,-0.8820301684254774,-0.8820073416582267,-0.8830961694411363
female,18-70,16,-1.0298994556883676,-1.029892531375401,-1.0309813591583108
female,18-70,17,-1.191017923536451,-1.1910161667455754,-1.1921049945284852
female,18-70,18,-1.3908193382999032,-1.3907936782418282,-1.391882506024738
female,18-70,19,-1.5615196396316462,-1.5614995554307072,-1.562588383213617
female,18-70,20,-1.708701349879261,-1.7087309989036743,-1.709819826686584
female,18-70,21,-2.010991725429845,-2.0109032734182737,-2.011992101201183
female,18-70,22,-2.121565356872748,-2.1215598642409956,-2.122648692023905
female,18-70,23,-2.2367493601098554,-2.2367678860722453,-2.237856713855155
female,18-70,24,-2.446200602178527,-2.4461572241466087,-2.4472460519295183
female,18-70,25,-2.5708308662386807,-2.5708131788399515,-2.571902006622861
female,18-70,26,-2.664541423697589,-2.6645803748819645,-2.665669202664874
female,18-70,27,-2.9252142670237093,-2.925122589541223,-2.9262114173241325
female,18-70,28,-2.9668578091868834,-2.9669016768974323,-2.967990504680342
female,18-70,29,-3.1729452652936385,-3.172880238322484,-3.1739690661053936
female,18-70,30,-3.225802924268872,-3.2258499694885834,-3.226938797271493
female,18-70,31,-3.4643216612789347,-3.464302981409418,-3.4653918091923277
female,18-70,32,-3.7517288434534843,-3.7515427744191325,-3.752631602202042
female,18-70,33,-3.5585159911401067,-3.558640057107781,-3.5597288848906907
female,18-70,34,-3.7778888741055514,-3.7779226680711355,-3.779011495854045
female,18-70,35,-4.298351617282241,-4.297879979789298,-4.298968807572208
female,18-70,36,-3.7510210837135087,-3.751345995789035,-3.7524348235719445
female,18-70,37,-4.579684066254148,-4.579192778779087,-4.580281606561997
female,18-70,38,-4.563135285551272,-4.563032253764976,-4.564121081547886
female,18-70,39,-4.244015661226778,-4.244155920554366,-4.245244748337276
female,18-70,40,-4.373391712465817,-4.37331557370588,-4.37440440148879
female,18-70,41,-4.2992725232958415,-4.299444168920605,-4.300532996703515
female,18-70,42,-5.037061383068324,-5.036565342371579,-5.037654170154489
female,18-70,43,-4.869093422192364,-4.868861777495121,-4.869950605278031
female,18-70,44,-4.108481147256169,-4.108741853134167,-4.109830680917077
female,18-70,45,-4.23927791931365,-4.239221676112929,-4.240310503895839
female,18-70,46,-4.268007580673759,-4.268046077287537,-4.269134905070447
female,18-70,47,-4.533546993877867,-4.533333881517337,-4.534422709300247
female,18-70,48,-4.277340945345913,-4.277361118154895,-4.278449945937805
female,18-70,49,-3.849700828569363,-3.850074261368656,-3.8511630891515654
female,18-70,50,-9.210340371976182,-9.210340371976182,-9.211429199759092
female,18-70,51,-9.210340371976182,-9.210340371976182,-9.211429199759092
female,18-70,52,-9.210340371976182,-9.210340371976182,-9.211429199759092
