sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-70,16,-2.5778449682796944,-2.577838437480685,-2.5791670189658484
male,18-70,17,-2.7841392943566605,-2.784121532069066,-2.7854501135542296
male,18-70,18,-2.989130104762709,-2.9891117100196665,-2.99044029150483
male,18-70,19,-3.1903296773962344,-3.19032052127666,-3.1916491027618235
male,18-70,20,-3.4210545695995616,-3.4210286777406473,-3.422357259225811
male,18-70,21,-3.636688582488261,-3.636670429212974,-3.6379990106981377
male,18-70,22,-3.8580148532935197,-3.8579143786980263,-3.85924296018319
male,18-70,23,-3.8128583226814534,-3.813025206062737,-3.8143537875479008
male,18-70,24,-4.441217301991003,-4.440805500458305,-4.442134081943469
male,18-70,25,-4.15042537795543,-4.150571623963777,-4.151900205448941
male,18-70,26,-4.352076216103623,-4.352079558417823,-4.353408139902987
male,18-70,27,-4.64212768656952,-4.6420230661608874,-4.6433516476460515
male,18-70,28,-4.68340033133084,-4.683492152395533,-4.684820733880697
male,18-70,29,-5.090776265257639,-5.0905269629079015,-5.0918555443930655
male,18-70,30,-4.886416257336284,-4.8864507911988415,-4.8877793726840055
male,18-70,31,-4.79333274618907,-4.793521717219266,-4.79485029870443
male,18-70,32,-5.491847356115198,-5.4913109878090465,-5.4926395692942105
male,18-70,33,-5.048161927801561,-5.0482695333839,-5.049598114869064
male,18-70,34,-4.979778590729305,-4.9796938693289325,-4.981022450814097
male,18-70,35,-4.675482384188905,-4.675721582325458,-4.677050163810622
male,18-70,36,-5.316037009394002,-5.3157282980619645,-5.3170568795471285
male,18-70,37,-5.405168718512611,-5.404786413250951,-5.406114994736115
male,18-70,38,-4.62568461493984,-4.626124343223595,-4.627452924708759
male,18-70,39,-6.253418966570791,-6.2514183525202185,-6.2527469340053825
male,18-70,40,-5.3557554505195775,-5.355957396436722,-5.357285977921886
male,18-70,41,-5.2512169388071674,-5.251305608031414,-5.252634189516578
male,18-70,42,-5.447688558213001,-5.44744396595543,-5.448772547440594
male,18-70,43,-4.9900474236321894,-4.990405604146393,-4.991734185631557
male,18-70,44,-6.534872439871672,-6.533315629773299,-6.534644211258463
male,18-70,45,-6.696821612043522,-6.694832824243249,-6.696161405728413
male,18-70,46,-4.508359262437372,-4.508850215449522,-4.510178796934686
male,18-70,47,-4.927654172886574,-4.927458694557636,-4.9287872760428
male,18-70,48,-5.287106230807744,-5.286800086489126,-5.28812866797429
male,18-70,49,-4.966882160950474,-4.967212099362196,-4.96854068084736
male,18-70,50,-9.210340371976182,-9.210340371976182,-9.211668953461345
male,18-70,51,-9.210340371976182,-9.210340371976182,-9.211668953461345
male,18-70,52,-9.210340371976182,-9.210340371976182,-9.211668953461345
female,18-70,-52,-9.210340371976182,-9.210340371976182,-9.211429199759092
female,18-70,-51,-9.210340371976182,-9.210340371976182,-9.211429199759092
female,18-70,-50,-9.210340371976182,-9.210340371976182,-9.211429199759092
