search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
female:25:race=nh_other,193,1.89,7.38,27.39,0.925,"Ocala, FL | New Orleans, LA | Hagerstown, MD","New Orleans, LA | Hagerstown, MD | Ocala, FL",True,9
female:25:edu=hs_or_less:race=hispanic,193,0.88,2.47,6.56,0.975,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
female:25:edu=hs_or_less:race=nh_white,193,0.86,3.16,8.06,0.957,"Duluth, MN | Canton, OH | Kingsport, TN","Duluth, MN | Canton, OH | Kingsport, TN",False,10
female:25:edu=hs_or_less:race=nh_black,193,0.94,3.68,9.15,0.98,"Montgomery, AL | Jackson, MS | Memphis, TN","Montgomery, AL | Jackson, MS | Memphis, TN",False,10
female:25:edu=hs_or_less:race=nh_asian,193,1.07,2.78,5.78,0.951,"San Jose, CA | Stockton, CA | Honolulu, HI","San Jose, CA | Stockton, CA | Honolulu, HI",False,10
female:25:edu=hs_or_less:race=nh_aian,193,1.24,4.71,13.78,0.953,"Yakima, WA | Anchorage, AK | Tulsa, OK","Yakima, WA | Anchorage, AK | Tulsa, OK",False,10
female:25:edu=hs_or_less:race=nh_nhpi,193,1.48,11.44,66.64,0.96,"Fayetteville, AR | Anchorage, AK | Salem, OR","Fayetteville, AR | Anchorage, AK | Yakima, WA",False,9
female:25:edu=hs_or_less:race=nh_twoplus,193,0.97,3.38,8.4,0.931,"Fayetteville, AR | Anchorage, AK | Canton, OH","Fayetteville, AR | Anchorage, AK | Canton, OH",False,9
female:25:edu=hs_or_less:race=nh_other,193,1.94,7.83,32.29,0.924,"Ocala, FL | Hagerstown, MD | Amarillo, TX","Ocala, FL | Hagerstown, MD | Cape Coral, FL",False,9
female:25:edu=some_college:race=hispanic,193,0.73,2.49,5.96,0.975,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
female:25:edu=some_college:race=nh_white,193,0.93,2.37,6.85,0.956,"Provo, UT | Duluth, MN | Fargo, ND","Duluth, MN | Fargo, ND | Cedar Rapids, IA",True,10
female:25:edu=some_college:race=nh_black,193,0.84,3.08,8.8,0.977,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:25:edu=some_college:race=nh_asian,193,0.81,2.66,5.97,0.963,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:25:edu=some_college:race=nh_aian,193,1.19,4.07,18.91,0.946,"Sioux Falls, SD | Yakima, WA | Anchorage, AK","Sioux Falls, SD | Anchorage, AK | Yakima, WA",False,10
female:25:edu=some_college:race=nh_nhpi,193,1.3,9.97,81.7,0.959,"Fayetteville, AR | Hickory, NC | Honolulu, HI","Fayetteville, AR | Hickory, NC | Honolulu, HI",False,10
female:25:edu=some_college:race=nh_twoplus,193,0.94,2.86,6.16,0.926,"Fayetteville, AR | Fargo, ND | Clarksville, TN","Fayetteville, AR | Fargo, ND | Anchorage, AK",False,10
female:25:edu=some_college:race=nh_other,193,1.96,7.73,37.86,0.928,"Hagerstown, MD | Ocala, FL | Flint, MI","Hagerstown, MD | Ocala, FL | New Orleans, LA",False,10
female:25:edu=bachelors:race=hispanic,193,0.64,2.0,4.63,0.977,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,9
female:25:edu=bachelors:race=nh_white,193,0.76,2.29,5.29,0.968,"Madison, WI | Boulder, CO | Ann Arbor, MI","Madison, WI | Boulder, CO | Portland, ME",False,9
female:25:edu=bachelors:race=nh_black,193,1.03,3.41,8.83,0.975,"Jackson, MS | Memphis, TN | Montgomery, AL","Jackson, MS | Memphis, TN | Montgomery, AL",False,10
female:25:edu=bachelors:race=nh_asian,193,0.9,2.35,5.62,0.968,"San Jose, CA | San Francisco, CA | Seattle, WA","San Jose, CA | San Francisco, CA | Seattle, WA",False,10
female:25:edu=bachelors:race=nh_aian,193,1.24,3.85,12.49,0.953,"Sioux Falls, SD | Tulsa, OK | Anchorage, AK","Sioux Falls, SD | Anchorage, AK | Tulsa, OK",False,10
female:25:edu=bachelors:race=nh_nhpi,193,1.25,7.07,76.56,0.955,"Hickory, NC | Fayetteville, AR | Honolulu, HI","Hickory, NC | Fayetteville, AR | Honolulu, HI",False,9
female:25:edu=bachelors:race=nh_twoplus,193,0.84,2.49,3.91,0.952,"Ann Arbor, MI | Fayetteville, AR | Boulder, CO","Fayetteville, AR | Ann Arbor, MI | Boulder, CO",True,10
female:25:edu=bachelors:race=nh_other,193,1.95,7.16,36.36,0.94,"New Orleans, LA | Savannah, GA | Greensboro, NC","New Orleans, LA | Savannah, GA | Ocala, FL",False,10
female:25:edu=graduate:race=hispanic,193,0.63,2.02,4.36,0.977,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
female:25:edu=graduate:race=nh_white,193,0.89,2.19,4.28,0.969,"Boulder, CO | Madison, WI | Ann Arbor, MI","Boulder, CO | Madison, WI | Ann Arbor, MI",False,9
female:25:edu=graduate:race=nh_black,193,1.0,3.43,11.29,0.976,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:25:edu=graduate:race=nh_asian,193,0.94,2.56,6.53,0.965,"San Jose, CA | San Francisco, CA | Seattle, WA","San Jose, CA | San Francisco, CA | Seattle, WA",False,10
female:25:edu=graduate:race=nh_aian,193,1.21,3.64,20.88,0.958,"Sioux Falls, SD | Olympia, WA | Anchorage, AK","Sioux Falls, SD | Olympia, WA | Anchorage, AK",False,10
female:25:edu=graduate:race=nh_nhpi,193,1.23,7.05,93.57,0.956,"Lincoln, NE | Hickory, NC | Salt Lake City, UT","Hickory, NC | Lincoln, NE | Salt Lake City, UT",True,10
female:25:edu=graduate:race=nh_twoplus,193,0.79,2.33,4.75,0.96,"Ann Arbor, MI | Boulder, CO | Boston, MA","Ann Arbor, MI | Boulder, CO | Boston, MA",False,10
female:25:edu=graduate:race=nh_other,193,1.93,8.41,28.29,0.932,"Gainesville, FL | New Orleans, LA | Columbia, SC","New Orleans, LA | Gainesville, FL | Columbia, SC",True,9
female:30:undisclosed,193,0.83,2.12,5.03,0.903,"Ann Arbor, MI | Fort Collins, CO | Raleigh, NC","Ann Arbor, MI | Raleigh, NC | Fort Collins, CO",False,10
female:30:edu=hs_or_less,193,0.86,2.26,5.37,0.915,"Yakima, WA | Merced, CA | Montgomery, AL","Yakima, WA | Merced, CA | Columbus, GA",False,9
female:30:edu=some_college,193,0.86,2.28,4.99,0.864,"Memphis, TN | Montgomery, AL | Jackson, MS","Memphis, TN | Columbus, GA | Jackson, MS",False,10
female:30:edu=bachelors,193,0.82,2.06,5.24,0.962,"Ann Arbor, MI | Boulder, CO | Fort Collins, CO","Ann Arbor, MI | Boulder, CO | Fort Collins, CO",False,10
female:30:edu=graduate,193,0.66,1.94,5.8,0.974,"San Jose, CA | Ann Arbor, MI | Boston, MA","San Jose, CA | Ann Arbor, MI | Boston, MA",False,10
female:30:race=hispanic,193,0.7,2.2,5.71,0.982,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
female:30:race=nh_white,193,0.87,2.64,5.74,0.962,"Portland, ME | Fort Collins, CO | Pittsburgh, PA","Portland, ME | Pittsburgh, PA | Fort Collins, CO",False,9
female:30:race=nh_black,193,0.61,2.11,7.38,0.986,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:30:race=nh_asian,193,0.7,2.29,10.36,0.976,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:30:race=nh_aian,193,0.89,2.59,12.38,0.964,"Yakima, WA | Anchorage, AK | Gulfport, MS","Yakima, WA | Anchorage, AK | Gulfport, MS",False,9
female:30:race=nh_nhpi,193,1.07,3.55,29.62,0.972,"Fayetteville, AR | Reading, PA | Honolulu, HI","Fayetteville, AR | Reading, PA | Salem, OR",False,10
female:30:race=nh_twoplus,193,0.86,2.22,4.88,0.943,"Fayetteville, AR | Honolulu, HI | Ann Arbor, MI","Fayetteville, AR | Honolulu, HI | Bend, OR",False,10
female:30:race=nh_other,193,1.07,3.24,9.88,0.972,"Greensboro, NC | Flint, MI | Ocala, FL","Greensboro, NC | Flint, MI | Ocala, FL",False,10
female:30:edu=hs_or_less:race=hispanic,193,0.71,2.17,5.84,0.978,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,9
female:30:edu=hs_or_less:race=nh_white,193,0.95,2.89,7.93,0.961,"Canton, OH | Kingsport, TN | Erie, PA","Canton, OH | Kingsport, TN | Erie, PA",False,10
female:30:edu=hs_or_less:race=nh_black,193,0.67,2.08,7.12,0.986,"Montgomery, AL | Memphis, TN | Jackson, MS","Montgomery, AL | Memphis, TN | Jackson, MS",False,10
female:30:edu=hs_or_less:race=nh_asian,193,0.84,2.23,7.56,0.964,"San Jose, CA | Stockton, CA | Honolulu, HI","San Jose, CA | Stockton, CA | Honolulu, HI",False,10
female:30:edu=hs_or_less:race=nh_aian,193,0.83,2.77,12.3,0.966,"Yakima, WA | Anchorage, AK | Sioux Falls, SD","Yakima, WA | Anchorage, AK | Sioux Falls, SD",False,9
female:30:edu=hs_or_less:race=nh_nhpi,193,1.0,3.48,41.08,0.974,"Fayetteville, AR | Reading, PA | Honolulu, HI","Fayetteville, AR | Reading, PA | Honolulu, HI",False,10
female:30:edu=hs_or_less:race=nh_twoplus,193,0.92,2.64,6.18,0.932,"Fayetteville, AR | Canton, OH | Flint, MI","Fayetteville, AR | Canton, OH | Flint, MI",False,9
female:30:edu=hs_or_less:race=nh_other,193,1.01,3.76,17.17,0.971,"Ocala, FL | Akron, OH | Visalia, CA","Ocala, FL | Akron, OH | Visalia, CA",False,10
