cbsa,sex,edu4,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
31900,Male,some_college,12368.0,12745,-377.0,969.1140283784979,863.4476351203933,True,True
32580,Male,some_college,58618.0,58562,56.0,2219.3544106338672,2417.8841276457506,True,True
32780,Male,some_college,26722.0,26879,-157.0,1383.3759431188616,1403.2933768228938,True,True
32820,Male,some_college,116684.70305305847,115856,828.7030530584743,3095.3035392348843,2927.030059924713,True,True
32900,Male,some_college,21166.0,21571,-405.0,1112.983827375762,1373.0255389039564,True,True
33100,Male,some_college,529786.2981160079,528786,1000.2981160079362,7342.135588505568,7405.047670145808,True,True
33140,Male,some_college,10566.0,10348,218.0,822.0723812414574,927.661575775347,True,True
33220,Male,some_college,9827.050469070424,8965,862.0504690704238,597.285526360718,520.7702632111562,False,False
33260,Male,some_college,15233.19296268366,15979,-745.8070373163391,1381.3037319865605,1387.1322982972551,True,True
33340,Male,some_college,147391.0,145924,1467.0,2886.002252251373,3664.024991593091,True,True
33460,Male,some_college,362844.1309633334,364366,-1521.8690366665833,4697.0958048564435,6473.245627053646,True,True
33500,Male,some_college,10285.191780837255,9879,406.19178083725456,823.2113944789637,688.9990023861171,True,True
33540,Male,some_college,14129.497640868427,12607,1522.497640868427,838.0346054907279,921.3549116795518,False,False
33660,Male,some_college,36638.0,35960,678.0,1524.9596715979083,1713.501953713141,True,True
33700,Male,some_college,49400.0,49786,-386.0,1871.7152561220416,1951.0837319295142,True,True
33740,Male,some_college,17664.735405548432,18236,-571.264594451568,1222.2900637737346,1060.3121839657442,True,True
33780,Male,some_college,19072.0,18612,460.0,967.1266721583063,1077.9084519365501,True,True
33860,Male,some_college,30037.249749538998,31456,-1418.750250461002,1657.7732052364702,1341.9781393541086,True,True
34060,Male,some_college,11241.272151619296,10050,1191.272151619296,787.5976129979065,778.1724465321723,False,False
34100,Male,some_college,10587.53678770463,10701,-113.46321229536989,833.112837495618,863.1821355259526,True,True
34580,Male,some_college,15663.0,16237,-574.0,783.4723990033089,795.8363961557992,True,True
34620,Male,some_college,9585.0,9806,-221.0,694.0871703179652,804.2664750356378,True,True
34740,Male,some_college,20330.0,20067,263.0,994.3852372194591,1107.171279698855,True,True
34820,Male,some_college,42842.48443560555,42850,-7.515564394452667,1666.3210975079203,1899.9068617285407,True,True
34900,Male,some_college,12872.0,12633,239.0,835.0796369209346,1138.239797974267,True,True
34940,Male,some_college,32704.0,33220,-516.0,1998.421627184814,2062.025019470848,True,True
34980,Male,some_college,166956.86763121546,167769,-812.1323687845434,3420.323084154478,3517.5777947562183,True,True
35300,Male,some_college,39118.0,39288,-170.0,1753.92901794799,1709.5971454088242,True,True
35380,Male,some_college,86378.0,86776,-398.0,2415.4125941544644,2421.299103662381,True,True
35620,Male,some_college,1387009.3753669355,1387365,-355.62463306449354,10298.032190666332,8913.07339451667,True,True
35660,Male,some_college,16078.0,16395,-317.0,863.2363523392652,1066.5554480809942,True,True
35840,Male,some_college,87525.0,88783,-1258.0,2598.765476144394,2576.8213539492317,True,True
35980,Male,some_college,24997.0,26350,-1353.0,1298.5203117394815,1301.707895596685,False,True
36100,Male,some_college,43554.0,43000,554.0,1924.7467365864009,1575.9363146289415,True,True
36220,Male,some_college,12898.0,13665,-767.0,1164.2791761429044,1100.9688955006857,True,True
36260,Male,some_college,66144.28757516912,66467,-322.7124248308828,2146.7084105672106,2055.82750920267,True,True
36420,Male,some_college,135467.52552181235,136501,-1033.4744781876507,3140.442007106643,3574.082420916004,True,True
36500,Male,some_college,34598.0,35086,-488.0,1445.4777756852577,1463.796435485908,True,True
36540,Male,some_college,97658.0028120563,97711,-52.997187943707104,2413.387038997268,2867.6747842214563,True,True
36740,Male,some_college,269759.0,271969,-2210.0,5261.174583683762,5144.040622386744,True,True
36780,Male,some_college,18973.0,19554,-581.0,976.0840127775888,1095.1897438817396,True,True
36980,Male,some_college,10892.656634375184,10980,-87.34336562481622,790.3473919739345,962.3902964117801,True,True
37100,Male,some_college,81772.0,82059,-287.0,2243.0864896387743,2146.655007575449,True,True
37140,Male,some_college,10052.64848096012,11292,-1239.3515190398793,692.4117272259331,397.41511192249226,False,False
37340,Male,some_college,73204.0,73839,-635.0,2319.066406983638,2133.1198396427476,True,True
37460,Male,some_college,24510.2388925387,24625,-114.76110746130144,1321.1551763513626,1138.2224361738834,True,True
37620,Male,some_college,8870.245932251191,9115,-244.75406774880867,790.2531240052139,615.6068778119991,True,True
37860,Male,some_college,58295.0,59234,-939.0,2262.760482242873,2087.5137175743903,True,True
37900,Male,some_college,38487.3161773768,38698,-210.68382262319938,1371.6216679536672,1425.178488163128,True,True
37980,Male,some_college,472005.25685323996,468650,3355.25685323996,5670.12927542221,6000.3986790684085,True,True
38060,Male,some_college,520913.72859360295,522513,-1599.2714063970488,6274.649791024197,6923.286255188341,True,True
38240,Male,some_college,10560.629543017983,11048,-487.37045698201655,826.1513178589017,898.0481534178781,True,True
38300,Male,some_college,214823.88436929614,216749,-1925.1156307038618,3646.4844713778775,4637.2197932603885,True,True
38340,Male,some_college,11092.0,10820,272.0,679.8440997758236,846.3640900566965,True,True
38540,Male,some_college,9781.122661023077,10079,-297.87733897692306,762.4559003640801,520.8612041521021,True,True
