cbsa,sex,median,published,pub_moe,gap,gap_pct,pass_pub_moe,pass_within_3pct
31740,Male,40218.948,40283.0,945.0,-64.05200000000332,-0.15900503934663088,True,True
43340,Female,30457.5,31569.0,866.0,-1111.5,-3.5208590706072416,False,False
26580,Male,47226.15,46780.0,1236.0,446.15000000000146,0.9537195382642185,True,True
25860,Female,35438.493,34828.0,864.0,610.4930000000022,1.7528798667738665,True,True
46660,Male,43905.6849,43651.0,1398.0,254.6849000000002,0.5834571945659898,True,True
41180,Female,40610.0,41255.0,307.0,-645.0,-1.5634468549266756,False,True
29460,Female,34518.5,34366.0,840.0,152.5,0.44375254612116627,True,True
36220,Female,36549.0,36513.0,1270.0,36.0,0.09859502095144194,True,True
12100,Female,37882.527,37834.0,1445.0,48.52700000000186,0.128262938098012,True,True
29820,Female,37780.92,37594.0,406.0,186.91999999999825,0.4972070011171949,True,True
10740,Female,37780.92,37555.0,894.0,225.91999999999825,0.6015710291572314,True,True
14260,Male,50762.5,51362.0,746.0,-599.5,-1.1672053268953702,True,True
34580,Female,38183.712,40086.0,1558.0,-1902.2880000000005,-4.745517138152972,False,False
26420,Female,37780.92,37495.0,462.0,285.91999999999825,0.7625550073343066,True,True
14740,Male,65988.918,65741.0,2103.0,247.91800000000512,0.37711321701830686,True,True
11180,Female,28427.0,27909.0,2076.0,518.0,1.8560321043391022,True,True
14460,Male,71363.96,71445.0,630.0,-81.0399999999936,-0.11342991112043334,True,True
26300,Female,30061.6182,29787.0,2009.0,274.6182000000008,0.9219397723839287,True,True
41660,Male,44687.72,46581.0,2329.0,-1893.2799999999988,-4.064489813443247,True,False
31420,Male,42956.676,43757.0,1956.0,-800.3240000000005,-1.8290193569028965,True,True
31080,Female,41763.435,41493.0,240.0,270.4349999999977,0.6517605379220536,False,True
26140,Male,40203.9,40206.0,2935.0,-2.099999999998545,-0.005223101029693441,True,True
15260,Female,33058.305,32668.0,2199.0,390.3050000000003,1.194762458675157,True,True
28700,Female,33515.79,33921.0,999.0,-405.2099999999991,-1.1945697355620388,True,True
19430,Female,36751.8228,36882.0,611.0,-130.17719999999827,-0.3529559134537126,True,True
19140,Female,32488.0,32362.0,1040.0,126.0,0.3893455287065076,True,True
37100,Female,41548.578,40796.0,696.0,752.5780000000013,1.844734777919407,False,True
16980,Female,43148.125,43239.0,330.0,-90.875,-0.21016906033904575,True,True
24580,Male,53695.845,53657.0,1003.0,38.845000000001164,0.07239502767579471,True,True
13740,Female,35797.23,36029.0,1259.0,-231.7699999999968,-0.643287351855441,True,True
18880,Female,35533.75,36229.0,1327.0,-695.25,-1.9190427558033618,True,True
41540,Female,36660.51,36101.0,1097.0,559.510000000002,1.5498462646464144,True,True
44100,Female,44687.72,43922.0,1397.0,765.7200000000012,1.743363234825375,True,True
15180,Male,35367.139,35373.0,1010.0,-5.860999999997148,-0.01656913465071424,True,True
33220,Female,34632.983,38124.0,2014.0,-3491.017,-9.157006085405518,False,False
31540,Male,57720.85,59627.0,931.0,-1906.1500000000015,-3.196790044778375,False,False
18700,Male,42770.595,37594.0,2614.0,5176.595000000001,13.769737192105127,False,False
39380,Male,50164.666,50395.0,2097.0,-230.33400000000256,-0.4570572477428367,True,True
29420,Female,34216.476,34629.0,1002.0,-412.5239999999976,-1.1912674348089682,True,True
38900,Female,44687.72,45019.0,477.0,-331.27999999999884,-0.7358670783446963,True,True
15500,Female,35797.23,36000.0,1227.0,-202.7699999999968,-0.5632499999999911,True,True
30620,Female,33410.748,33314.0,1526.0,96.74799999999959,0.2904124392147433,True,True
23460,Male,42234.4,41860.0,1806.0,374.40000000000146,0.8944099378882022,True,True
41420,Male,46701.5,47372.0,1237.0,-670.5,-1.4153930591910833,True,True
12940,Male,53695.845,54738.0,1371.0,-1042.1549999999988,-1.9038967444919415,True,True
22420,Male,46922.106,47015.0,1221.0,-92.89400000000023,-0.1975837498670642,True,True
47220,Female,36867.369,34644.0,1148.0,2223.368999999999,6.417760651195009,False,False
