cbsa,sex,band,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
45460,Female,30-34,5059.079769589904,5060,-0.9202304100963374,163.0,284.08051797518857,True,True
31140,Male,60-64,44032.8113985586,43749,283.8113985586024,1488.4112334969795,1337.3682113184946,True,True
41140,Male,65-69,3505.059251952592,3637,-131.94074804740785,321.822932681933,379.41617758339646,True,True
41140,Male,50-54,3855.674567155929,3745,110.6745671559288,163.0,256.279162118477,True,True
24300,Female,30-34,4972.493395412831,5046,-73.50660458716902,74.0,246.64476568138997,True,True
27180,Female,18-24,8901.864912080116,8853,48.86491208011648,564.648563267454,466.491093365482,True,True
10740,Male,65-69,26005.99055684749,25888,117.99055684748964,1236.5516568263536,957.8791630786968,True,True
22140,Male,40-44,3951.3039356331024,4106,-154.69606436689764,449.0,489.13965642305317,True,True
42140,Female,60-64,6501.044388842762,6326,175.0443888427617,509.0481313196229,523.4100256600071,True,True
22140,Male,45-49,3362.361340323503,3335,27.3613403235031,43.0,201.72010991341818,True,True
22140,Male,35-39,4186.686786888307,4054,132.68678688830732,442.0,519.9053362482292,True,True
10740,Male,50-54,26633.249474221328,26859,-225.75052577867245,200.0,590.5728119224416,False,True
28880,Female,18-24,35601.884485091025,35918,-316.11551490897546,1037.302270314685,715.9042391173372,True,True
28740,Female,35-39,5822.1541851624515,5777,45.15418516245154,485.0,538.8948565249021,True,True
48060,Female,18-24,4938.276272556271,4948,-9.72372744372933,472.9460857222523,187.40060488352535,True,True
24020,Male,35-39,3787.0,3916,-129.0,305.0,338.52685174517546,True,True
21300,Female,30-34,2442.3005188088737,2417,25.300518808873676,70.0,105.62215499120164,True,True
28740,Female,45-49,5070.849383422767,5254,-183.15061657723345,21.0,206.54338053662835,False,True
28740,Female,40-44,5428.885174559911,5329,99.88517455991132,483.0,531.2078481087266,True,True
