cbsa,sex,band,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
10500,Male,35-39,4455.359497786615,4411,44.359497786615066,445.0,427.27844630187343,True,True
31420,Female,40-44,7193.610372768795,7704,-510.38962723120494,543.0,508.5447833970433,True,True
19140,Female,55-59,5059.647215183488,4950,109.64721518348779,313.0,427.0387598914837,True,True
10500,Male,40-44,3870.086518474271,3694,176.0865184742711,424.0,447.2284750636007,True,True
14460,Female,50-54,161982.0266921606,162619,-636.973307839391,175.0,933.3280844170125,False,True
14460,Female,65-69,143608.5364910087,143433,175.53649100870825,2638.94543331233,2417.762822663485,True,True
14460,Male,65-69,132307.4898450144,131422,885.4898450144101,2310.4255019368184,2052.486085845933,True,True
14460,Male,50-54,155820.53123944678,156369,-548.4687605532235,251.0,840.5700448671345,False,True
39300,Male,65-69,48979.0,47931,1048.0,1521.9083415238908,1317.1434978837726,True,True
39300,Male,50-54,53941.0,53610,331.0,297.0,682.0375125955317,False,True
11200,Female,18-24,18407.477524630758,21887,-3479.522475369242,1045.03827681095,600.8331703469843,False,False
11200,Female,30-34,3898.655674727271,4130,-231.34432527272884,148.0,190.36871484614886,False,True
11200,Male,55-59,4218.3666011855,4209,9.366601185500258,384.0,373.7843218902322,True,True
38340,Male,60-64,5459.0,5280,179.0,482.6530845234494,403.9049536524651,True,True
34900,Male,18-24,5840.0,5718,122.0,323.3836730572525,294.26953446840196,True,True
44700,Male,65-69,16803.0,17096,-293.0,956.9059514915768,812.81545758247,True,True
25260,Male,60-64,3908.0,3847,61.0,423.4548382059178,425.1387851278686,True,True
42680,Female,65-69,7694.0,7737,-43.0,650.6027974117542,610.022028575608,True,True
37460,Female,50-54,6902.417400441588,6927,-24.582599558411857,85.0,49.77395931467537,True,True
42700,Female,45-49,2424.3123430814317,2346,78.31234308143166,45.0,107.39276183880503,False,True
48680,Male,18-24,2157.0,2176,-19.0,294.5895449604415,270.80492428822265,True,True
42700,Female,40-44,2941.4297305484934,2904,37.42973054849335,376.0,328.17082618708974,True,True
36100,Female,25-29,10689.0,10493,196.0,110.0,450.8161441402693,False,True
42680,Female,50-54,4843.0,4837,6.0,34.0,61.11125184857532,True,True
42700,Female,35-39,2455.2757035540353,2393,62.27570355403532,388.0,305.9853766398522,True,True
39460,Male,60-64,9741.0,9502,239.0,843.6023944963646,719.7670196068657,True,True
48680,Male,30-34,2629.0,2690,-61.0,273.0,337.00586294603244,True,True
29420,Female,35-39,5070.0,4878,192.0,609.0,515.0000845825174,True,True
20220,Male,35-39,3221.9282441286164,3394,-172.07175587138363,287.0,325.87462928047313,True,True
20220,Male,45-49,2594.434577125259,2473,121.43457712525878,96.0,120.5022122088689,False,True
11180,Male,40-44,3605.0,3525,80.0,366.0,429.47387050611127,True,True
11180,Male,35-39,3562.0,3611,-49.0,357.0,468.9939428060345,True,True
22520,Female,50-54,4845.812192318037,4810,35.81219231803698,57.0,153.7117291674226,True,True
19300,Female,60-64,11226.0,11000,226.0,1044.5611518719236,893.0279877522038,True,True
23460,Female,40-44,3317.883496941574,3240,77.88349694157387,320.0,348.8455189262014,True,True
22520,Male,60-64,5118.596375656494,5120,-1.4036243435057258,541.7342521938224,527.871686332056,True,True
23460,Female,45-49,3301.9629873178783,3430,-128.0370126821217,105.0,112.13978419252204,False,True
17980,Female,55-59,10621.142525648582,11019,-397.8574743514182,644.0,667.7344448940058,True,True
23460,Female,35-39,2865.418916360875,3131,-265.58108363912515,325.0,313.1098528292568,True,True
43300,Male,35-39,4279.748441374332,4316,-36.25155862566771,417.0,355.15282155322683,True,True
46340,Male,60-64,6423.0,6431,-8.0,623.9439077353028,593.8567336098414,True,True
20580,Male,55-59,1420.7055155722114,1348,72.70551557221143,223.0,161.3789696935941,True,True
15540,Female,18-24,14398.866098522132,15208,-809.1339014778678,904.2776122408428,510.4755355684251,True,True
15540,Female,30-34,7534.093958826418,7433,101.0939588264182,126.0,230.2145950600792,True,True
48700,Female,35-39,3075.2705314833306,3290,-214.72946851666939,269.0,280.802582175675,True,True
13780,Male,55-59,7229.150406057748,7303,-73.84959394225189,508.0,357.3510691902146,True,True
28880,Female,30-34,21021.503535368098,20923,98.5035353680978,37.0,407.86225243885315,False,True
45460,Female,18-24,9612.568237007632,9618,-5.4317629923680215,629.6872239453489,353.141867382845,True,True
29020,Male,25-29,2588.223187417655,2786,-197.77681258234497,139.0,170.58364780924757,False,True
45460,Male,40-44,5063.599799570924,5050,13.599799570924006,435.0,504.10107916119927,True,True
45460,Male,45-49,4899.33049105458,4980,-80.6695089454197,151.0,214.6664566547739,True,True
18020,Female,45-49,2194.5641780373962,2236,-41.43582196260377,77.0,101.72951549394072,True,True
18020,Female,35-39,2938.3398810807844,2851,87.33988108078438,373.0,307.2451038921559,True,True
21780,Male,60-64,9245.010691555626,9292,-46.98930844437382,754.214823508528,565.3612773753065,True,True
18020,Female,40-44,2545.614475479646,2605,-59.38552452035401,400.0,363.1340267052463,True,True
48620,Male,25-29,22630.749289320636,22877,-246.2507106793637,168.0,372.69063713016845,False,True
29940,Male,55-59,3019.0,3220,-201.0,309.0,388.78470951639804,True,True
27900,Male,55-59,6359.287897822642,6251,108.28789782264175,440.0,509.30164539384134,True,True
27900,Female,55-59,6524.015866603556,6355,169.01586660355588,422.0,556.8461141627962,True,True
31740,Male,25-29,7184.0,7235,-51.0,224.0,513.5802229715432,True,True
