cbsa,category,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
47260,black or african american alone,538020.2706100333,528688.0,9332.270610033302,3002.0,4347.354982501153,False,False
16820,white alone,166508.2610044178,166173.0,335.26100441781455,938.0,1329.6020609343332,True,True
16820,asian alone,10371.541336763074,10734.0,-362.45866323692644,426.0,620.444132668362,True,True
47900,american indian and alaska native alone,30561.30384527267,32750.0,-2188.6961547273313,2704.0,2754.9379946004055,True,True
44220,two or more races,8135.0,8988.0,-853.0,797.0,918.3274196501213,False,True
18140,american indian and alaska native alone,4643.484304031117,4310.0,333.48430403111706,763.0,983.9743864987728,True,True
10420,some other race alone,7160.0,6881.0,279.0,926.0,1131.9100245768213,True,True
17900,white alone,466425.43000345636,462561.0,3864.430003456364,1546.0,2147.116562075062,False,False
16700,white alone,535507.0,534584.0,923.0,2240.0,2470.134212905242,True,True
16740,black or african american alone,613415.5817812027,608414.0,5001.581781202694,4260.0,4629.475543628132,False,True
16700,asian alone,17319.0,17417.0,-98.0,780.0,845.2645660701447,True,True
24860,two or more races,78694.22494165567,80755.0,-2060.7750583443267,3589.0,3623.5968263524774,True,True
17900,asian alone,20709.338863247627,19985.0,724.3388632476272,679.0,890.8389577341417,False,True
34820,american indian and alaska native alone,1507.9073401991848,1034.0,473.9073401991848,399.0,734.5259679941447,False,True
24860,native hawaiian and other pacific islander alone,763.3664584180641,828.0,-64.6335415819359,381.0,377.16112634376094,True,True
32820,white alone,563760.5343822145,556025.0,7735.534382214537,2020.0,2618.5699314392737,False,False
16860,black or african american alone,69153.26129700748,68293.0,860.2612970074842,1349.0,1610.9920818901467,True,True
32820,asian alone,30786.068822928282,30732.0,54.068822928282316,856.0,829.888881656441,True,True
17420,black or african american alone,4900.0,5054.0,-154.0,512.0,562.4596354806272,True,True
10580,white alone,694810.1652598864,695032.0,-221.8347401135834,1804.0,2763.3750914868497,True,True
