cbsa,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
22420,34265.8416035289,35334.0,-1068.1583964711026,799.0,600.6180331665603,False,False
27100,36818.16619801688,35930.0,888.1661980168792,996.0,1447.585452165622,True,True
29740,30280.85288196883,29907.0,373.852881968829,810.0,960.876827386429,True,True
41780,38033.01781028585,43625.0,-5591.982189714152,2576.0,929.3129932874674,False,False
10540,38347.69548132994,34924.0,3423.695481329938,760.0,1131.5401406041783,False,False
22500,32039.32689467199,32571.0,-531.6731053280091,1174.0,1067.9615798640643,True,True
38540,32029.360304436086,33866.0,-1836.6396955639138,1202.0,1062.417458867731,False,False
39150,42430.539179766456,41784.0,646.5391797664561,1116.0,1135.6062144483915,True,True
24500,40283.08773663174,38795.0,1488.0877366317436,1587.0,1347.671494731545,True,True
47260,43459.56748157422,44050.0,-590.4325184257832,501.0,384.8794792917948,False,True
44420,37399.80014604839,38190.0,-790.1998539516135,1035.0,1132.1674833808331,True,True
38340,49343.477320484904,49365.0,-21.52267951509566,2153.0,1528.8769754065968,True,True
12060,46449.0470884285,46309.0,140.04708842850232,239.0,246.46285065747213,True,True
10500,30865.040524046603,29934.0,931.0405240466025,983.0,1014.7034435295059,True,True
19140,32719.965462797383,31295.0,1424.9654627973832,1054.0,1161.2159446430178,False,True
40980,34504.08208295236,34578.0,-73.91791704764182,791.0,1039.835504953865,True,True
20500,49419.465140366454,50851.0,-1431.5348596335461,821.0,833.7887218320041,False,False
10740,40119.843985655934,39741.0,378.8439856559344,510.0,542.0124672781785,True,True
38900,51657.51177392679,51936.0,-278.488226073212,417.0,414.6458267646343,True,True
12620,36890.61770575301,37915.0,-1024.3822942469924,990.0,882.3149639292708,False,True
24420,36944.95171386625,35179.0,1765.9517138662486,1801.0,1419.1184675274017,True,True
17660,41316.590492958705,40981.0,335.590492958705,1155.0,1417.0125751424257,True,True
22020,44388.50322582789,44190.0,198.50322582788795,924.0,1386.923892692718,True,True
43100,40932.47662165678,40078.0,854.4766216567805,884.0,1391.5142596986382,True,True
26300,32907.88536571374,34085.0,-1177.114634286263,1294.0,1078.1669098923264,True,True
30780,38554.17735953215,38553.0,1.1773595321501489,580.0,748.1037405275592,True,True
43580,38512.708611138485,37232.0,1280.7086111384851,965.0,1146.6987443252492,False,True
41860,74363.31664699483,74352.0,11.316646994833718,502.0,541.3367383667268,True,True
23420,32657.68983660715,32569.0,88.68983660715094,491.0,596.5374698643501,True,True
25260,26836.446990059034,27306.0,-469.55300994096615,766.0,850.7457025023937,True,True
37900,40287.47297642266,40820.0,-532.5270235773423,653.0,704.550853200417,True,True
14010,42867.69024519973,43372.0,-504.30975480026973,1318.0,1244.5505986625187,True,True
25220,30818.52796269669,31792.0,-973.4720373033088,1910.0,1965.9609451328272,True,True
