cbsa,sex,band,edu4,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
27740,Female,25-34,hs_or_less,4238.614056106202,3675,563.614056106202,488.7749993606465,549.4643404793926,False,True
27780,Female,25-34,hs_or_less,2403.0,2328,75.0,338.23216878351474,421.0727678590721,True,True
27860,Female,25-34,hs_or_less,3405.0,3361,44.0,489.62536698990584,548.0289787000319,True,True
27900,Female,25-34,hs_or_less,4578.640585697742,4585,-6.359414302258301,481.851636917423,586.0742300051203,True,True
27980,Female,25-34,hs_or_less,3097.6315800671955,2773,324.6315800671955,345.45332535669706,385.4094453411674,True,True
28020,Female,25-34,hs_or_less,4255.0,4447,-192.0,596.2348530570819,633.7964268152275,True,True
28100,Female,25-34,hs_or_less,2417.0603174504968,2299,118.06031745049677,338.88936247690043,314.8429319633386,True,True
28140,Female,25-34,hs_or_less,37181.5061583595,37374,-192.49384164049843,1540.9623616428794,1915.267358293012,True,True
28420,Female,25-34,hs_or_less,6966.694238206783,7214,-247.30576179321724,804.1672711569404,830.6216227229023,True,True
28450,Female,25-34,hs_or_less,3143.0,2906,237.0,366.29769314042915,637.1849690101768,True,True
28660,Female,25-34,hs_or_less,12322.874567459061,12968,-645.1254325409391,982.8387456749963,932.5728514117014,True,True
28700,Female,25-34,hs_or_less,6417.474707048348,6144,273.47470704834814,562.06583244314,523.7665651088327,True,True
28740,Female,25-34,hs_or_less,3011.2489432797165,2938,73.24894327971651,423.0803706153241,512.5308755218632,True,True
28880,Female,25-34,hs_or_less,12952.888554215217,13371,-418.1114457847834,873.0652896547887,1231.9799942804773,True,True
28940,Female,25-34,hs_or_less,17797.56410958908,17555,242.56410958907873,975.1092246512695,960.0723797599687,True,True
29020,Female,25-34,hs_or_less,1892.466588751938,1590,302.46658875193793,259.25470101813005,242.91417882115806,False,True
29100,Female,25-34,hs_or_less,1843.2080239855975,1700,143.2080239855975,250.9123352886422,304.3636286561569,True,True
29180,Female,25-34,hs_or_less,11045.280962384955,10542,503.2809623849553,894.8530605635766,995.3221796771388,True,True
29200,Female,25-34,hs_or_less,3941.6808367932217,3877,64.68083679322172,443.1467025715074,537.7368635905764,True,True
29340,Female,25-34,hs_or_less,5878.429920220007,5303,575.4299202200073,798.3345163526377,785.5241710892257,True,True
29420,Female,25-34,hs_or_less,4447.0,4442,5.0,462.05410938547016,635.4138031304875,True,True
29460,Female,25-34,hs_or_less,20765.0,20650,115.0,1410.6512680318974,1428.1830410783311,True,True
29540,Female,25-34,hs_or_less,12995.0,12391,604.0,821.4974132643389,999.1085953889096,True,True
29620,Female,25-34,hs_or_less,6253.0,6620,-367.0,619.9040248296506,732.8692853103138,True,True
29700,Female,25-34,hs_or_less,7055.0,7018,37.0,835.3185021295769,648.649803613244,True,True
29740,Female,25-34,hs_or_less,4347.0,4086,261.0,596.6615456018596,754.2332175569106,True,True
29820,Female,25-34,hs_or_less,61527.0,60950,577.0,1948.0338806088564,2066.200349353252,True,True
29940,Female,25-34,hs_or_less,1720.0,1265,455.0,287.8350221915325,463.0308293650651,False,True
30020,Female,25-34,hs_or_less,3263.0,2950,313.0,284.56633673011993,549.766407864513,False,True
30140,Female,25-34,hs_or_less,3472.0,3297,175.0,430.2162247056705,554.8173125092619,True,True
30300,Female,25-34,hs_or_less,1114.9943726360018,1561,-446.0056273639982,326.6955769519998,135.9702199073674,False,False
30340,Female,25-34,hs_or_less,1863.0,2199,-336.0,354.77598565855607,419.60480589627423,True,True
30460,Female,25-34,hs_or_less,8939.324123461616,8668,271.3241234616162,752.6493207331021,794.7574342146854,True,True
30500,Female,25-34,hs_or_less,3154.0,3349,-195.0,495.10705912963914,484.54172395677136,True,True
30620,Female,25-34,hs_or_less,2049.0,1972,77.0,327.42785464892876,473.0569262255865,True,True
30700,Female,25-34,hs_or_less,3677.7471573780103,4143,-465.25284262198966,502.7981702432896,628.646909585351,True,True
30780,Female,25-34,hs_or_less,16216.0,15312,904.0,1023.1446623034301,1432.1989648609408,True,True
30860,Female,25-34,hs_or_less,2152.3715015816856,2189,-36.62849841831439,338.54098717880527,287.1700440155506,True,True
30980,Female,25-34,hs_or_less,6865.608702365966,6799,66.60870236596566,725.2199666308147,741.4656645844693,True,True
31020,Female,25-34,hs_or_less,2385.4037294264144,2730,-344.59627057358557,421.3953013501693,388.8851271019732,True,True
31080,Female,25-34,hs_or_less,241386.0,241516,-130.0,4184.025215029183,3703.1795207216865,True,True
31140,Female,25-34,hs_or_less,28035.948762376695,27890,145.9487623766945,1386.1089423274059,1804.996629043206,True,True
31180,Female,25-34,hs_or_less,7766.085038094674,7649,117.08503809467402,815.0901790599614,732.970413915067,True,True
31340,Female,25-34,hs_or_less,4654.0,4923,-269.0,576.8890707926438,585.1714964424959,True,True
31420,Female,25-34,hs_or_less,5862.389582052734,5485,377.3895820527341,673.4188889539705,700.5179115203645,True,True
31540,Female,25-34,hs_or_less,7668.4968123922035,7319,349.49681239220354,769.0630663346147,1075.1110912235938,True,True
31700,Female,25-34,hs_or_less,6904.6189637679345,6541,363.6189637679345,605.9719465453826,869.79988727274,True,True
31740,Female,25-34,hs_or_less,1843.0,1775,68.0,255.6032081175821,402.41908381219946,True,True
31860,Female,25-34,hs_or_less,1185.0,996,189.0,225.39299013057172,333.1669227148007,True,True
