cbsa,sex,bucket,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
22220,Male,1,48449.20259262186,47856,593.202592621863,2003.2655839903007,1906.7405076179368,True,True
22380,Male,1,10213.0,10737,-524.0,923.7142415271078,813.5018152392163,True,True
22420,Male,1,25008.55490627882,24219,789.5549062788195,1271.3174269237404,1367.8282594625166,True,True
22500,Male,1,12224.566046113228,11729,495.56604611322837,967.0806584768408,907.4187935208105,True,True
22520,Male,1,11755.14775321161,10742,1013.1477532116096,957.8731648814471,1057.5586336829792,False,True
22540,Male,1,6453.374616898549,6571,-117.625383101451,621.9919613628459,560.5744819982143,True,True
22660,Male,1,22295.0,22639,-344.0,1336.8623713756028,1612.6106664392835,True,True
22900,Male,1,17687.379732458823,17342,345.3797324588231,1037.8164577611979,1001.1034847017759,True,True
23060,Male,1,35167.19708163737,34300,867.1970816373723,1464.0297128132338,1434.728947158379,True,True
23420,Male,1,81494.0,84489,-2995.0,2610.3216276926487,2660.6367506754846,False,True
23460,Male,1,6887.81910287097,7159,-271.1808971290302,705.2928469791822,685.7392764756917,True,True
23540,Male,1,23320.07159444955,24678,-1357.9284055504504,1562.3987967225269,1299.9229353506294,True,True
23580,Male,1,17831.0,17770,61.0,1169.932476684018,1027.2038479453581,True,True
23900,Male,1,7182.771488854073,7688,-505.22851114592686,620.5763450213036,526.4292950353782,True,True
24020,Male,1,7975.0,8598,-623.0,654.5754349194598,705.2312803967221,True,True
24140,Male,1,10120.0,9691,429.0,847.8808878610249,837.3361057581657,True,True
24220,Male,1,7881.990101511033,7867,14.990101511032663,602.0332216746847,544.6538577951851,True,True
24260,Male,1,6259.113417483724,6062,197.11341748372433,610.0606527223339,616.0175600947331,True,True
24300,Male,1,10925.99542903362,10791,134.9954290336209,902.017183871793,840.0661495135774,True,True
24340,Male,1,79757.88115556519,80220,-462.1188444348081,2286.9680802319913,2352.7517699621903,True,True
24420,Male,1,5550.15598475752,4893,657.15598475752,582.4834761604831,501.4317703454429,False,True
24500,Male,1,6281.905358526149,6796,-514.094641473851,580.2620097852349,550.8492434647488,True,True
24540,Male,1,22050.0,21915,135.0,1385.1718304961303,1294.7892600318207,True,True
24580,Male,1,22592.749211093538,22297,295.7492110935382,1173.804924167555,1654.1273617429704,True,True
24660,Male,1,58209.978546006954,59466,-1256.0214539930457,2444.0746715270384,2516.3705541706536,True,True
24780,Male,1,12845.0,13030,-185.0,1173.1734739585618,1089.4397972134577,True,True
24860,Male,1,66454.78173421299,65987,467.7817342129856,2372.737870056446,2056.512468015159,True,True
25060,Male,1,28924.723306201915,29766,-841.276693798085,1492.0177612883836,1673.9894711653765,True,True
25180,Male,1,19071.909793802155,19948,-876.090206197845,1315.8453556554432,939.9666352441644,True,True
25220,Male,1,8084.407796662608,8308,-223.59220333739177,1015.3398445840683,798.4344369892851,True,True
25260,Male,1,12678.0,12928,-250.0,1039.7903634867944,1044.1837535007908,True,True
25420,Male,1,39159.0,38081,1078.0,1661.0957227083572,1929.4563266986636,True,True
25500,Male,1,9498.0,9714,-216.0,768.4054919116599,808.9577481457237,True,True
25540,Male,1,61955.980378225446,62175,-219.01962177455425,2144.6104541384666,2541.5040682291014,True,True
