cbsa,alpha,beta,n_fit_points,fallback,val_p90_rel_err
39380,0.35179120171960176,-0.5744004214831188,68,False,0.41827710587821837
39460,0.32101829675442284,-0.5586806018373888,59,False,0.40053902070640934
39540,0.43025781561107795,-0.586039080643181,58,False,0.525341048476218
39580,0.5027228403785658,-0.5603395196383294,105,False,0.528512208458731
39660,0.441666400236169,-0.6110420756361523,53,False,0.16857082792931558
39740,0.4773479174529717,-0.5690201184700527,77,False,0.4023339860851242
39820,0.5654441838126415,-0.6074311685982585,64,False,0.4937200601747848
39900,0.44688390740198664,-0.5657116467209163,86,False,0.2942215291941981
40060,0.36455585435841603,-0.5485424049742942,101,False,0.340880783160984
40140,0.42517004877563674,-0.543197989161812,112,False,0.28766052506668816
40220,0.3735873532850058,-0.5639316040712109,74,False,0.22128272676606825
40340,0.44255818814652187,-0.5590247873290587,70,False,0.5179885830334078
40380,0.3691267146175463,-0.5489155091935329,98,False,0.451039939690867
40420,0.4247272506814016,-0.5734691849243233,77,False,0.7136082250605605
40580,0.7648658714163113,-0.6731244579918415,63,False,0.365169052951227
40660,0.2671511328827876,-0.6139486035615276,43,False,0.46414509863474773
40900,0.37306639491918675,-0.5377031287623184,110,False,0.3046684716473997
40980,0.583795872163027,-0.6158139313225149,67,False,0.3357876608952674
41060,0.5186957051619856,-0.553697758711019,61,False,0.262358453695014
41100,0.6777391230349512,-0.63596687126947,52,False,0.45616018307925155
41140,0.4000755591942732,-0.5622633680917467,52,False,0.48723653387667837
41180,0.3586857798779107,-0.5327963051735954,104,False,0.34882064575991856
41420,0.37473983818207945,-0.5594456456223117,77,False,0.35998045386131444
41500,0.4021465499628538,-0.5656419603313857,88,False,0.4765220575336142
41540,0.36768768472012525,-0.6108347530984438,58,False,0.3593570054519783
41620,0.36711337858478654,-0.5458632747924066,90,False,0.42586210588722373
41660,0.46294148810718166,-0.5972505404750497,57,False,0.6401002142575943
41700,0.401108243140429,-0.5407721050921684,103,False,0.3649822822349108
41740,0.4178386016074127,-0.5423615516847071,111,False,0.2997911426510115
41780,0.09958933979240749,-0.5779667517335797,54,False,0.2852030215304058
41860,0.46853192307770686,-0.5509048795386634,115,False,0.396168556736879
41940,0.382508863490351,-0.5422554601918126,109,False,0.3664320438354353
42020,0.5498696053401965,-0.5879018679470155,79,False,0.5271793417433064
42100,0.44565317254556375,-0.5617159628683747,84,False,0.596798196578028
42140,0.32012376374903917,-0.5443585895774135,80,False,0.2744201891726349
42200,0.4746882121262609,-0.5739406323010907,90,False,0.28073141724261913
42220,0.4540883101218175,-0.5623298318631634,87,False,0.4532380720960515
42340,0.4042295177418294,-0.5626200090157902,87,False,0.27804111279869725
42540,0.33529781097091294,-0.5341426410268774,83,False,0.48067936542288064
42660,0.378263517975704,-0.5374689808135555,113,False,0.398407168861156
42680,0.4054704537644083,-0.5746744270101023,67,False,0.3382384248505379
42700,0.12248479897610504,-0.575376953349522,42,False,0.6598517979514879
43100,0.5533913471344228,-0.5986063750151116,56,False,0.3299281810795881
43300,0.20986858953144807,-0.570564200065427,59,False,0.44039871983583145
43340,0.517162389644946,-0.5980734537260974,76,False,0.3177812074218654
43420,0.3047457501073094,-0.58696533828936,58,False,0.4722092387898885
43580,0.34154863173418465,-0.5965723281077578,55,False,0.3545581810237723
43620,0.4677133776512053,-0.5785194406228094,65,False,0.40734454358327704
43640,0.5592921175249872,-0.6035916058257935,70,False,0.3997826751772766
43780,0.4201079110141106,-0.5701163850860756,74,False,0.46002284839302005
43900,0.38795497050678834,-0.5610350173248202,77,False,0.3949949687957452
44060,0.33184947028962297,-0.539460955153937,83,False,0.4362568539745895
44100,0.3702083894804275,-0.5665401110243695,70,False,0.44591178792732467
44140,0.3203616635662993,-0.5450237453513195,88,False,0.3375060380484709
44180,0.43955586372491334,-0.5704177895711162,68,False,0.3652789996812992
44220,0.49151401498452313,-0.5987056165076083,58,False,0.3499305674226832
