cbsa,bucket,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
19460,6,5005.0,4696,309.0,568.0,681.6263494081637,True,True
19500,6,2529.919320171067,2815,-285.08067982893317,340.0,334.6581160658698,True,True
19660,6,24041.0,23688,353.0,1279.0,1427.028919426653,True,True
19740,6,247832.01514495618,246723,1109.0151449561818,3768.0,4194.574922087561,True,True
19780,6,35916.295717805624,36597,-680.704282194376,1361.0,1909.3509653737465,True,True
19820,6,211202.31368711946,205115,6087.313687119458,3144.0,4148.639701256141,False,False
20020,6,3640.0,3462,178.0,329.0,376.4984204316135,True,True
20100,6,5190.0,4491,699.0,502.0,742.7979239402868,False,True
20220,6,2887.3636642156875,3446,-558.6363357843125,364.0,371.4709951496342,False,False
20260,6,8690.455259430373,8411,279.4552594303732,628.0,744.7045499527541,True,True
20500,6,37061.56906789348,39056,-1994.430932106523,1351.0,1628.0576857779483,False,True
20580,6,701.5638720184576,601,100.56387201845757,301.0,151.78219533555273,True,True
20740,6,5689.21996303142,5241,448.21996303141987,432.0,749.7823508769712,False,True
20940,6,2873.0,2802,71.0,429.0,514.295379250825,True,True
21060,6,3578.8679996286587,3458,120.86799962865871,389.0,445.3954082021925,True,True
21140,6,4630.0,4733,-103.0,524.0,576.2772161132609,True,True
21300,6,2820.192371349599,2135,685.192371349599,298.0,286.49658295429884,False,False
21340,6,17539.29460172817,17138,401.29460172816835,1175.0,1245.6998053060672,True,True
21420,6,1560.3508141623688,1350,210.3508141623688,256.0,311.46885532962244,True,True
21500,6,7745.0,7477,268.0,657.0,829.0752673476034,True,True
21660,6,13088.0,12445,643.0,827.0,1059.7976174139335,True,True
21780,6,8696.997211797983,8340,356.99721179798325,667.0,813.6484148369746,True,True
21820,6,5154.630181056865,4582,572.6301810568648,571.0,651.2531765695699,False,True
22020,6,11062.451555622438,11150,-87.54844437756219,797.0,926.0803311664649,True,True
22140,6,2221.2126312577852,2411,-189.78736874221477,328.0,356.3444123606514,True,True
22180,6,8210.462999637815,8393,-182.5370003621847,627.0,643.2457779175703,True,True
22220,6,27010.542883067956,26624,386.5428830679557,1414.0,1577.5118834217183,True,True
22380,6,5692.0,5824,-132.0,505.0,673.7378606179113,True,True
22420,6,10204.696271386729,10392,-187.30372861327123,869.0,936.2505328514834,True,True
22500,6,4482.8565490450965,4815,-332.1434509549035,605.0,587.3659403512079,True,True
22520,6,3569.384946560616,3610,-40.615053439384155,448.0,498.8830866892591,True,True
22540,6,3586.6103680313713,2714,872.6103680313713,344.0,443.0054016443097,False,False
22660,6,25243.0,24306,937.0,1228.0,1195.7982377663047,True,True
22900,6,4930.756637719258,4892,38.756637719257924,525.0,572.1861753976262,True,True
23060,6,14061.529151936971,13687,374.5291519369712,678.0,981.4541401076244,True,True
23420,6,40673.0,39442,1231.0,1748.0,1635.9008086353372,True,True
23460,6,1522.3363257304663,1459,63.33632573046634,309.0,351.6213402919078,True,True
23540,6,12515.554535110532,12504,11.554535110532015,890.0,906.1549911282384,True,True
23580,6,8996.0,8540,456.0,664.0,752.2814497920642,True,True
23900,6,4292.90115154446,3826,466.90115154445994,294.0,499.9407328873148,False,True
24020,6,4615.0,4399,216.0,411.0,484.6402840638611,True,True
24140,6,2277.0,2478,-201.0,397.0,456.6149326634533,True,True
24220,6,3679.534219738407,3189,490.53421973840705,333.0,327.2842751785012,False,False
24260,6,1995.2591625903476,2043,-47.740837409652386,329.0,322.29391348837106,True,True
